"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,xfield
"Rodnik (Cosmos 2483, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1473,1516,0.002733804,82.5,115.86,250,,300,2013-01-15T00:00,5 yrs.,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001B,39058,,15
"Rodnik (Cosmos 2484, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1475,1514,0.002479496,82.5,115.86,250,,300,2013-01-15T00:00,5 yrs.,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001C,39059,,15
"Rodnik (Cosmos 2488, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1478,1509,0.001971132,82.5,115.9,280,,300,2013-12-25T00:00,5 yrs.,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076A,39483,,359
"Rodnik (Cosmos 2489, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1477,1507,0.001907911,82.5,115.8,280,,300,2013-12-25T00:00,5 yrs.,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076B,39484,,359
"Rodnik (Cosmos 2490, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1482,1511,0.001843259,82.5,115.8,280,,300,2013-12-25T00:00,5 yrs.,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076C,39485,,359
"Rodnik (Cosmos 2496, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1480,1511,0.001970631,82.44,115.88,280,,300,2014-05-23T00:00,5 yrs.,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028A,39761,,143
"Rodnik (Cosmos 2497, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1478,1510,0.002034588,82.45,115.85,280,,300,2014-05-23T00:00,5 yrs.,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028B,39762,,143
"Rodnik (Cosmos 2498, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1477,1509,0.002034847,82.44,115.82,280,,300,2014-05-23T00:00,5 yrs.,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028C,39763,,143
"Rodnik (Cosmos 2507, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1497,1506,5.72E-04,82.5,116.01,280,,300,2015-09-23T00:00,5 yrs.,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050A,40920,,266
"Rodnik (Cosmos 2508, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1496,1504,5.08E-04,82.49,115.99,280,,300,2015-09-23T00:00,5 yrs.,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050B,40921,,266
"Rodnik (Cosmos 2509, Strela 3M)",Russia,Russia,Ministry of Defense,Military,Communications,,LEO,Polar,0,1498,1508,6.35E-04,82.49,116.04,280,,300,2015-09-23T00:00,5 yrs.,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050C,40922,,266
RS-47 (Cosmos 2499),Russia,Russia,Ministry of Defense,Military,Technology Development,,LEO,Polar,0,1152,1503,0.02279961,82.46,112.19,,,,2014-05-23T00:00,,Roskosmos/Russian Academy of Sciences ,Russia,Plesetsk Cosmodrome,Rokot,2014-028E,39765,"Small satellite with orbit changing capability. Possibly, but speculatively, an inspector satellite with its own Briz-KM rocket body (2014-028D/39764) as a target.",143
"Rumba (part of Cluster quartet, Cluster 2 FM5)",ESA,ESA,European Space Agency (and 250 international scientific investigators),Government,Space Science,,Elliptical,Deep Highly Eccentric,0,17240,120715,0.686651846,90.8,3431.1,"1,200",478,224,2000-08-09T00:00,4 yrs.,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-045A,26463,"Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.",222
"Salsa (part of Cluster quartet, Cluster 2 FM6)",ESA,ESA,European Space Agency (and 250 international scientific investigators),Government,Space Science,,Elliptical,Deep Highly Eccentric,0,21998,110256,0.60870105,90.7,"3,418","1,200",478,220,2000-07-16T00:00,4 yrs.,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-041A,26410,"Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.",198
"Samba (part of Cluster quartet, Cluster 2 FM7)",ESA,ESA,European Space Agency (and 250 international scientific investigators),Government,Space Science,,Elliptical,Deep Highly Eccentric,0,22017,110791,0.60992937,132.98,"3,430.28","1,200",478,220,2000-07-16T00:00,4 yrs.,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-041B,26411,"Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.",198
Sapphire (Space Surveillance Mission of Canada),Canada,Canada,Department of National Defense,Military,Space Observation,,LEO,Non-Polar Inclined,0,772,787,0.001049024,132.98,100.4,148,,,2013-02-25T00:00,5 yrs.,"Surrey Satellite Technologies, Ltd/MacDonald, Dettwiler and Associates",UK/Canada,Satish Dhawan Space Centre,PSLV,2013-009C,39088,Space observation of manmade objects - debris.,56
SARAL (Satellite with ARGOS and ALTIKA),NR,India/France,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,782,785,2.10E-04,98.5,100.53,407,,906,2013-02-25T00:00,5 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2013-009A,39086,"Joint effort, ISRO and CNES.",56
SAR-Lupe 1,Germany,Germany,Armed Forces,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,468,505,0.00269817,98.2,94.3,770,,,2006-12-19T00:00,10 yrs.,OHB System-AG,Germany,Plesetsk Cosmodrome,Kosmos 3M,2006-060A,29658,First of five Germany surveillance satellites; 1-m resolution images.,353
SAR-Lupe 2,Germany,Germany,Armed Forces,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,470,503,0.002406476,98.19,94.34,770,,,2007-07-02T00:00,10 yrs.,OHB-System AG ,Germany,Plesetsk Cosmodrome,Kosmos 3M,2007-030A,31797,,183
SAR-Lupe 3,Germany,Germany,Armed Forces,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,473,496,0.00167773,98.17,94.3,770,,,2007-11-01T00:00,10 yrs.,OHB-System AG ,Germany,Plesetsk Cosmodrome,Kosmos 3M,2007-053A,32283,,305
SAR-Lupe 4,Germany,Germany,Armed Forces,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,448,486,0.002778997,98.16,94.4,770,,,2008-03-27T00:00,10 yrs.,OHB-System AG ,Germany,Plesetsk Cosmodrome,Kosmos 3M,2008-014A,32750,"Synthetic Aperture Radar, 4th in a five-satellite fleet. Will be shared with the French military.",87
SAR-Lupe 5,Germany,Germany,Armed Forces,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,474,502,0.002041411,98.16,94.37,770,,,2008-07-22T00:00,10 yrs.,OHB-System AG ,Germany,Plesetsk Cosmodrome,Kosmos 3M,2008-036A,33244,,204
Sathyabamasat,NR (12/16),India,Sathyabama University/IRSO,Civil,Earth Science,,LEO,Sun-Synchronous,0,501,517,0.00116296,97.5,94.8,2,,,2016-06-22T00:00,,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV XL,2016-040B,41600,"To collect data on green house gases (Water vapor, Carbon monoxide, Carbon dioxide, Methane and Hydrogen fluoride)",174
Saudicomsat-1,Saudi Arabia,Saudi Arabia,Riyadh Space Research Institute,Commercial,Technology Development,,LEO,Sun-Synchronous,0,697,747,0.003525099,98,99.2,12,,,2004-06-29T00:00,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025D,28369,Communications services; part of planned 24-satellite constellation. First commercial satellites.,181
Saudicomsat-2 ,Saudi Arabia,Saudi Arabia,Riyadh Space Research Institute,Commercial,Technology Development,,LEO,Sun-Synchronous,0,696,780,0.005908835,98.1,99.6,12,,,2004-06-29T00:00,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025E,28370,Communications services; part of planned 24-satellite constellation. First commercial satellites.,181
Saudicomsat-3,Saudi Arabia,Saudi Arabia,Riyadh Space Research Institute,Commercial,Communications,,LEO,Sun-Synchronous,0,652,714,0.004395293,97.8,98.4,12,,,2007-04-17T00:00,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr ,2007-012J,31125,Communications services; part of planned 24-satellite constellation. First commercial satellites.,107
Saudicomsat-4,Saudi Arabia,Saudi Arabia,Riyadh Space Research Institute,Commercial,Communications,,LEO,Sun-Synchronous,0,649,746,0.006862398,97.8,98.7,12,,,2007-04-17T00:00,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012L,31127,Communications services; part of planned 24-satellite constellation. First commercial satellites.,107
Saudicomsat-5,Saudi Arabia,Saudi Arabia,Riyadh Space Research Institute,Commercial,Communications,,LEO,Sun-Synchronous,0,651,725,0.005242278,97.8,98.5,12,,,2007-04-17T00:00,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012H,31124,Communications services; part of planned 24-satellite constellation. First commercial satellites.,107
Saudicomsat-6,Saudi Arabia,Saudi Arabia,Riyadh Space Research Institute,Commercial,Communications,,LEO,Sun-Synchronous,0,648,758,0.00777605,97.8,98.8,12,,,2007-04-17T00:00,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012E,31121,Communications services; part of planned 24-satellite constellation. First commercial satellites.,107
Saudicomsat-7,Saudi Arabia,Saudi Arabia,Riyadh Space Research Institute,Commercial,Communications,,LEO,Sun-Synchronous,0,650,736,0.006088065,97.8,98.6,12,,,2007-04-17T00:00,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012C,31119,Communications services; part of planned 24-satellite constellation. First commercial satellites.,107
"Saudisat 1C (Oscar 50, SO 50)",Saudi Arabia,Saudi Arabia,"Space Research Institute, King Abdulaziz City for Science and Technology",Government,Communications,Amateur Radio,LEO,Non-Polar Inclined,0,603,702,0.007048772,64.6,97.8,10,,,2002-12-20T00:00,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2002-058C,27607,"Microsatellite; carries several experiments, available to amateurs as power permits.",354
Saudisat-2 ,Saudi Arabia,Saudi Arabia,Riyadh Space Research Institute,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,696,734,0.002681722,97.9,99.1,35,35,,2004-06-29T00:00,,Riyadh Space Research Institute,Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025F,28371,,181
Saudisat-3 ,Saudi Arabia,Saudi Arabia,Riyadh Space Research Institute,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,656,677,0.001492219,97.8,98.1,200,,,2007-04-17T00:00,,King Abdulaziz City for Science and Technology,Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012B,31118,Carries a high resolution imager; telecommunications.,107
Saudisat-4,Saudi Arabia,Saudi Arabia,"Space Research Institute, King Abdulaziz City for Science and Technology",Government,Space Science,,LEO,Sun-Synchronous,0,613,682,0.004916281,97.98,97.68,100,,,2014-06-19T00:00,,King Abdulaziz City for Science and Technology/Stanford University,Saudi Arabia,Dombarovsky Air Base,Dnepr,2014-033G,40016,Scientific experiment using ultraviolet radiation in space.,170
"SBIRS GEO 1 (Space Based Infrared System Geosynchronous 1, USA 230)",USA,USA,US Air Force,Military,Earth Observation,Infrared Imaging,GEO,,-96.84,35778,35795,2.02E-04,6.45,1436.11,"4,500",,,2011-05-07T00:00,12 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2011-019A,37481,Defect in communications system; still has not entered service as of 2013. Uses infrared sensors to detect and track missile launches; equipped with both scanning and staring instruments.  Will eventually replace DSP system.,127
"SBIRS GEO 2 (Space Based Infrared System Geosynchronous 2, USA 241)",USA,USA,US Air Force,Military,Earth Observation,Infrared Imaging,GEO,,20.6,35770,35790,2.37E-04,6.45,1436.11,"4,500",,,2013-03-19T00:00,12 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-011A,39120,Expected to be operational before GEO 1.,78
"SBIRS GEO 3 (Space Based Infrared System Geosynchronous 3, USA 273)",USA,USA,US Air Force,Military,Earth Observation,Infrared Imaging,GEO,,-159.6,35779,35785,7.12E-05,5.9,1436.11,"4,500",,,2017-01-20T00:00,12 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2017-004A,41937,,20
"SBSS-1 (Space Based Space Surveillance Satellite, SBSS Block 10 SV1, USA 216)",USA,USA,Strategic Space Command/Space Surveillance Network,Military,Space Observation,,LEO,Sun-Synchronous,0,631,634,2.14E-04,98.02,97.36,"1,031",,,2010-09-26T00:00,,Boeing/Ball Aerospace,USA,Vandenberg AFB,Minotaur 4,2010-048A,37168,Designed to track and detect other spacecraft in orbit.,269
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23, Intruder) ",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1016,1203,0.012500836,63.4,107.4,"5,000+",,,2005-02-03T00:00,,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004B,28541,"ELINT system; wide area ocean surveillance, primarily for the Navy.",34
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23, Intruder) ",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1017,1203,0.012433155,63.4,107.4,"5,000+",,,2005-02-03T00:00,,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004A,28537,"ELINT system; wide area ocean surveillance, primarily for the Navy.",34
"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1015,1200,0.012370445,63.4,107.4,"5,000+",,,2007-06-15T00:00,,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2007-027A,31701,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",166
"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1016,1201,0.012368791,63.4,107.4,"5,000+",,,2007-06-15T00:00,,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2007-027B,31708,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",166
"SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1014,1201,0.012504179,63.4,107.4,"5,000+",,,2011-04-15T00:00,,Lockheed Martin,USA,Vandenberg AFB,Atlas 5,2011-014B,37391,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",105
"SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1019,1205,0.012429832,63.4,107.5,,,,2011-04-15T00:00,,Lockheed Martin,USA,Vandenberg AFB,Atlas 5,2011-014A,37386,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",105
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1012,1203,0.012771648,63.4,107.4,"6,500",,,2012-09-13T00:00,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2012-048A,38758,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",257
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1012,1203,0.012771648,63.4,107.4,"6,500",,,2012-09-13T00:00,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2012-048P,38773,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",257
"SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder)",NR,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1014,1099,0.00572275,63.4,107.4,"6,500",,,2015-10-08T00:00,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2015-058A,40964,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",281
"SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder)",NR,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1014,1099,0.00572275,63.4,107.4,"6,500",,,2015-10-08T00:00,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2015-058R,40981,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",281
"SB-WASS 3-8 (Space Based Wide Area Surveillance System) NOSS 3-8, USA 274, NRO L79, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1009,1204,0.013040861,63.4,107.4,"6,500",,,2017-03-01T00:00,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2017-011A,42058,,60
"SB-WASS 3-8 (Space Based Wide Area Surveillance System) NOSS 3-8, USA 274, NRO L79, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1009,1204,0.013040861,63.4,107.4,"6,500",,,2017-03-01T00:00,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2017-011B,42065,,60
ScatSat-1,NR (12/16),India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology/Earth Science,LEO,Sun-Synchronous,0,717,731,9.87E-04,98.1,99.3,371,,,2016-09-26T00:00,5 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PLSV,2016-059H,41790,"Funded and built in India to join an international fleet of orbiting radars designed to track hurricanes, typhoons and other tropical cyclones.",270
SCD-1 (Satélite de Coleta de Dados),Brazil,Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Government,Earth Observation,Meteorology/Earth Science,LEO,Non-Polar Inclined,0,716,776,0.004215852,25,99.7,110,,70,1993-02-09T00:00,3 yrs.,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1993-009B,22491,Collects meteorological and environmental data on the Amazon region; barely functioning.,40
SCD-2 (Satélite de Coleta de Dados),NR,Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Government,Earth Observation,Meteorology/Earth Science,LEO,Non-Polar Inclined,0,735,760,0.001756235,25,99.8,110,,70,1998-10-23T00:00,3 yrs.,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1998-060A,25504,Collects meteorological and environmental data on the Amazon region,296
Scisat-1 (Atmospheric Chemistry Experiment),Canada,Canada,Canadian Space Agency,Government,Space Science,,LEO,Polar,0,638,649,7.84E-04,73.9,97.6,150,,80,2003-08-12T00:00,,Bristol Aerospace Ltd.,Canada,Vandenberg AFB,Pegasus XL,2003-036A,27858,ACE experiments in space.,224
SDO (Solar Dynamics Observatory),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,GEO,,-102,35779,35791,1.42E-04,28,1436.03,"3,100","1,650","1,500",2010-02-11T00:00,5 yrs.,Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2010-005A,36395,"Carries three instruments to study the Sun at high time and spatial resolution: HMI, AIA, and EVE.",42
"SDS III-4 (Satellite Data System) (NRO L-1, USA 179, Quasar) ",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,Elliptical,Molniya,0,500,39850,0.741194199,63.4,717.7,,,,2004-08-31T00:00,7-10 yrs.,Hughes,USA,Cape Canaveral,Atlas 2AS,2004-034A,28384,Real-time data relay from reconnaissance satellites.,244
"SDS III-5 (Satellite Data System) (NRO L-24, USA 198, Quasar) ",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,Elliptical,Molniya,0,400,39966,0.745038225,60,718,,,,2007-12-10T00:00,7-10 yrs.,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2007-060A,32378,Real-time data relay from reconnaissance satellites.,344
"SDS III-6 (Satellite Data System) NRO L-27, USA 227, Quasar)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,131.06,35770,35803,3.91E-04,4.7,1436.1,,,,2011-03-02T00:00,,National Reconnaissance Laboratory,USA,Cape Canaveral,Delta 4,2011-011A,37377,Real-time data relay from reconnaissance satellites.,61
"SDS III-7 (Satellite Data System) NRO L-38, USA 236, Quasar)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,-10.11,35771,35805,4.03E-04,3.8,1436.1,,,,2012-06-20T00:00,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2012-033A,38466,Real-time data relay from reconnissance satellites.,172
"SDS III-8 (Satellite Data System) NRO L-33, USA 252, Quasar)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,170.09,35500,35500,0,4,1436.1,,,,2014-05-22T00:00,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2014-027A,39751,Real-time data relay from reconnissance satellites.,142
"SDS IV-1 (Satellite Data System, NRO L-61, USA 269, Quasar)",NR (11/16),USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,92.01,35777,35796,2.25E-04,4.92,1436.1,,,,2016-07-28T00:00,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2016-047A,41724,Possible 4th generation of data relay satellites.,210
SDS-4 (Small Demonstration Satellite-4),Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,,LEO,Sun-Synchronous,0,661,673,8.53E-04,98.2,98.1,50,48,120,2012-05-17T00:00,2 yrs.,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-2A,2012-025C,38339,Several technology demonstration experiments and including an experiment to monitor AIS (Automatic Information System) messages transmitted from ships at sea.,138
SEEDS 2,Japan,Japan,Nihon University,Civil,Technology Development,,LEO,Sun-Synchronous,0,607,627,0.001431229,97.8,97,3,,,2008-04-28T00:00,,Nihon University,Japan,Satish Dhawan Space Centre,PSLV C9,2008-021J,32791,Will download telemetry in Morse code and 1200-baud FM.,119
Sentinel 1A,ESA,ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,691,693,1.42E-04,98.16,98.61,"2,300","2,146",,2014-04-03T00:00,7 yrs.,Thales Alenia Space Italia,Italy,Guiana Space Center,Soyuz,2014-016A,39634,"Part of ESA's Copernicus constellation, the EU contribution to GEOSS (Global Earth Observation System of Systems).",93
Sentinel 1B,NR (12/16),ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,695,697,1.42E-04,98.1,98.7,"2,300","2,146",,2016-04-25T00:00,7 yrs.,Thales Alenia Space,France,Guiana Space Center,Soyuz 2.1a,2016-025A,41456,,116
Sentinel 2A,NR,ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,787,788,6.99E-05,98.5,100.62,"1,130","2,146",,2015-06-23T00:00,7 yrs.,Airbus Defense and Space,France/UK/Germany,Guiana Space Center,Vega,2015-028A,40697,"Part of ESA's Copernicus constellation, the EU contribution to GEOSS (Global Earth Observation System of Systems).",174
Sentinel 2B,NR (9/17),ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,777,779,1.40E-04,98.5,100.4,"1,130",,,2017-03-06T00:00,7 yrs.,Airbus Defense and Space,France/UK/Germany,Guiana Space Center,Vega,2017-013A,42063,,65
Sentinel 3A,NR (12/16),ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,802,804,1.39E-04,98.6,100.9,"2,300","2,146",,2016-02-16T00:00,7 yrs.,Thales Alenia Space,France,Plesetsk Cosmodrome,Rokot,2016-011A,41335,,47
SES-1 (AMC-4R),USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-101,35781,35793,1.42E-04,0.05,1436.1,,"2,561","5,000",2010-04-24T00:00,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2010-016A,36516,"24 C-band; 24 Ku-band, CONUS.",114
SES-10,NR (9/17),USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-67,35777,35799,2.61E-04,0,1436.1,"5,271","2,835",,2017-03-30T00:00,15 yrs.,Airbus Defense and Space,France/UK/Germany,Cape Canaveral,Falcon 9,2017-017A,42432,Primarily for video and the development of Ultra HD.,89
SES-15,NR (9/17),USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-129,35777,35777,0,0,1436.1,,,,2017-05-18T00:00,18 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Soyuz,2017-026A,42709,Powered exclusively by xenon-fed electric thrusters,138
