Agency,Agency w/ USSR,Category,Launch Year,Tag,Years
,Soviet Union,O,1968,1968-029,
,Soviet Union,O,1968,1968-032,
,Soviet Union,O,1968,1968-033,
,Soviet Union,O,1968,1968-035,
,Soviet Union,O,1968,1968-036,
,Soviet Union,O,1968,1968-037,
,Soviet Union,O,1968,1968-038,
,Soviet Union,O,1968,1968-040,
,Soviet Union,O,1968,1968-043,
,Soviet Union,O,1968,1968-044,
,Soviet Union,O,1968,1968-045,
,Soviet Union,O,1968,1968-046,
,Soviet Union,O,1968,1968-049,
,Soviet Union,O,1968,1968-051,
,Soviet Union,O,1968,1968-053,
,Soviet Union,O,1968,1968-054,
,Soviet Union,O,1968,1968-056,
,Soviet Union,O,1968,1968-057,
,Soviet Union,O,1968,1968-060,
,Soviet Union,O,1968,1968-061,
,Soviet Union,O,1968,1968-062,
,Soviet Union,O,1968,1968-067,
,Soviet Union,O,1968,1968-070,
,Soviet Union,O,1968,1968-072,
,Soviet Union,O,1968,1968-073,
,Soviet Union,O,1968,1968-075,
,Soviet Union,O,1968,1968-076,
,Soviet Union,O,1968,1968-077,
,Soviet Union,O,1968,1968-079,
,Soviet Union,O,1968,1968-080,
,Soviet Union,O,1968,1968-082,
,Soviet Union,O,1968,1968-083,
,Soviet Union,O,1968,1968-085,
,Soviet Union,O,1968,1968-087,
,Soviet Union,O,1968,1968-088,
,Soviet Union,O,1968,1968-090,
,Soviet Union,O,1968,1968-091,
,Soviet Union,O,1968,1968-093,
,Soviet Union,O,1968,1968-094,
,Soviet Union,O,1968,1968-095,
,Soviet Union,O,1968,1968-096,
,Soviet Union,O,1968,1968-097,
,Soviet Union,O,1968,1968-101,
,Soviet Union,O,1968,1968-102,
,Soviet Union,O,1968,1968-103,
,Soviet Union,O,1968,1968-104,
,Soviet Union,O,1968,1968-105,
,Soviet Union,O,1968,1968-106,
,Soviet Union,O,1968,1968-107,
,Soviet Union,O,1968,1968-111,
,Soviet Union,O,1968,1968-113,
,Soviet Union,O,1968,1968-115,
,Soviet Union,O,1968,1968-117,
,Soviet Union,O,1968,1968-119,
,Soviet Union,O,1969,1969-001,
,Soviet Union,O,1969,1969-002,
,Soviet Union,O,1969,1969-003,
,Soviet Union,O,1969,1969-004,
,Soviet Union,O,1969,1969-005,
,Soviet Union,O,1969,1969-015,
,Soviet Union,O,1969,1969-017,
,Soviet Union,O,1969,1969-020,
,Soviet Union,O,1969,1969-021,
,Soviet Union,O,1969,1969-022,
,Soviet Union,O,1969,1969-023,
,Soviet Union,O,1969,1969-024,
,Soviet Union,O,1969,1969-027,
,Soviet Union,O,1969,1969-028,
,Soviet Union,O,1969,1969-029,
,Soviet Union,O,1969,1969-031,
,Soviet Union,O,1969,1969-032,
,Soviet Union,O,1969,1969-033,
,Soviet Union,O,1969,1969-034,
,Soviet Union,O,1969,1969-035,
,Soviet Union,O,1969,1969-038,
,Soviet Union,O,1969,1969-040,
,Soviet Union,O,1969,1969-042,
,Soviet Union,O,1969,1969-044,
,Soviet Union,O,1969,1969-047,
,Soviet Union,O,1969,1969-052,
,Soviet Union,O,1969,1969-054,
,Soviet Union,O,1969,1969-055,
,Soviet Union,O,1969,1969-058,
,Soviet Union,O,1969,1969-060,
,Soviet Union,O,1969,1969-061,
,Soviet Union,O,1969,1969-066,
,Soviet Union,O,1969,1969-067,
,Soviet Union,O,1969,1969-070,
,Soviet Union,O,1969,1969-071,
,Soviet Union,O,1969,1969-072,
,Soviet Union,O,1969,1969-073,
,Soviet Union,O,1969,1969-075,
,Soviet Union,O,1969,1969-076,
,Soviet Union,O,1969,1969-077,
,Soviet Union,O,1969,1969-078,
,Soviet Union,O,1969,1969-080,
,Soviet Union,O,1969,1969-081,
,Soviet Union,O,1969,1969-084,
,Soviet Union,O,1969,1969-085,
,Soviet Union,O,1969,1969-087,
,Soviet Union,O,1969,1969-088,
,Soviet Union,O,1969,1969-089,
,Soviet Union,O,1969,1969-091,
,Soviet Union,O,1969,1969-092,
,Soviet Union,O,1969,1969-093,
,Soviet Union,O,1969,1969-094,
,Soviet Union,O,1969,1969-096,
,Soviet Union,O,1969,1969-098,
,Soviet Union,O,1969,1969-100,
,Soviet Union,O,1969,1969-102,
,Soviet Union,O,1969,1969-103,
,Soviet Union,O,1969,1969-104,
,Soviet Union,O,1969,1969-106,
,Soviet Union,O,1969,1969-107,
,Soviet Union,O,1969,1969-108,
,Soviet Union,O,1969,1969-109,
,Soviet Union,O,1969,1969-110,
,Soviet Union,O,1970,1970-001,1970s
,Soviet Union,O,1970,1970-005,1970s
,Soviet Union,O,1970,1970-006,1970s
,Soviet Union,O,1970,1970-007,1970s
,Soviet Union,O,1970,1970-010,1970s
,Soviet Union,O,1970,1970-013,1970s
,Soviet Union,O,1970,1970-014,1970s
,Soviet Union,O,1970,1970-015,1970s
,Soviet Union,O,1970,1970-019,1970s
,Soviet Union,O,1970,1970-020,1970s
,Soviet Union,O,1970,1970-022,1970s
,Soviet Union,O,1970,1970-023,1970s
,Soviet Union,O,1970,1970-024,1970s
,Soviet Union,O,1970,1970-026,1970s
,Soviet Union,O,1970,1970-028,1970s
,Soviet Union,O,1970,1970-030,1970s
,Soviet Union,O,1970,1970-035,1970s
,Soviet Union,O,1970,1970-036,1970s
,Soviet Union,O,1970,1970-037,1970s
,Soviet Union,O,1970,1970-038,1970s
,Soviet Union,O,1970,1970-039,1970s
,Soviet Union,O,1970,1970-041,1970s
,Soviet Union,O,1970,1970-042,1970s
,Soviet Union,O,1970,1970-044,1970s
,Soviet Union,O,1970,1970-045,1970s
,Soviet Union,O,1970,1970-047,1970s
,Soviet Union,O,1970,1970-049,1970s
,Soviet Union,O,1970,1970-050,1970s
,Soviet Union,O,1970,1970-051,1970s
,Soviet Union,O,1970,1970-052,1970s
,Soviet Union,O,1970,1970-053,1970s
,Soviet Union,O,1970,1970-056,1970s
,Soviet Union,O,1970,1970-057,1970s
,Soviet Union,O,1970,1970-059,1970s
,Soviet Union,O,1970,1970-060,1970s
,Soviet Union,O,1970,1970-063,1970s
,Soviet Union,O,1970,1970-065,1970s
,Soviet Union,O,1970,1970-068,1970s
,Soviet Union,O,1970,1970-071,1970s
,Soviet Union,O,1970,1970-072,1970s
,Soviet Union,O,1970,1970-074,1970s
,Soviet Union,O,1970,1970-075,1970s
,Soviet Union,O,1970,1970-077,1970s
,Soviet Union,O,1970,1970-078,1970s
,Soviet Union,O,1970,1970-079,1970s
,Soviet Union,O,1970,1970-080,1970s
,Soviet Union,O,1970,1970-081,1970s
,Soviet Union,O,1970,1970-083,1970s
,Soviet Union,O,1970,1970-084,1970s
,Soviet Union,O,1970,1970-085,1970s
,Soviet Union,O,1970,1970-086,1970s
,Soviet Union,O,1970,1970-088,1970s
,Soviet Union,O,1970,1970-089,1970s
,Soviet Union,O,1970,1970-091,1970s
,Soviet Union,O,1970,1970-092,1970s
,Soviet Union,O,1970,1970-095,1970s
,Soviet Union,O,1970,1970-096,1970s
,Soviet Union,O,1970,1970-097,1970s
,Soviet Union,O,1970,1970-099,1970s
,Soviet Union,O,1970,1970-101,1970s
,Soviet Union,O,1970,1970-103,1970s
,Soviet Union,O,1970,1970-105,1970s
,Soviet Union,O,1970,1970-108,1970s
,Soviet Union,O,1970,1970-110,1970s
,Soviet Union,O,1970,1970-111,1970s
,Soviet Union,O,1970,1970-113,1970s
,Soviet Union,O,1971,1971-001,
,Soviet Union,O,1971,1971-002,
,Soviet Union,O,1971,1971-003,
,Soviet Union,O,1971,1971-004,
,Soviet Union,O,1971,1971-007,
,Soviet Union,O,1971,1971-010,
,Soviet Union,O,1971,1971-013,
,Soviet Union,O,1971,1971-014,
,Soviet Union,O,1971,1971-015,
,Soviet Union,O,1971,1971-017,
,Soviet Union,O,1971,1971-023,
,Soviet Union,O,1971,1971-025,
,Soviet Union,O,1971,1971-026,
,Soviet Union,O,1971,1971-027,
,Soviet Union,O,1971,1971-031,
,Soviet Union,O,1971,1971-032,
,Soviet Union,O,1971,1971-035,
,Soviet Union,O,1971,1971-037,
,Soviet Union,O,1971,1971-038,
,Soviet Union,O,1971,1971-040,
,Soviet Union,O,1971,1971-041,
,Soviet Union,O,1971,1971-042,
,Soviet Union,O,1971,1971-043,
,Soviet Union,O,1971,1971-044,
,Soviet Union,O,1971,1971-045,
,Soviet Union,O,1971,1971-046,
,Soviet Union,O,1971,1971-047,
,Soviet Union,O,1971,1971-049,
,Soviet Union,O,1971,1971-050,
,Soviet Union,O,1971,1971-052,
,Soviet Union,O,1971,1971-053,
,Soviet Union,O,1971,1971-055,
,Soviet Union,O,1971,1971-057,
,Soviet Union,O,1971,1971-062,
,Soviet Union,O,1971,1971-064,
,Soviet Union,O,1971,1971-065,
,Soviet Union,O,1971,1971-066,
,Soviet Union,O,1971,1971-068,
,Soviet Union,O,1971,1971-069,
,Soviet Union,O,1971,1971-073,
,Soviet Union,O,1971,1971-074,
,Soviet Union,O,1971,1971-075,
,Soviet Union,O,1971,1971-077,
,Soviet Union,O,1971,1971-078,
,Soviet Union,O,1971,1971-081,
,Soviet Union,O,1971,1971-082,
,Soviet Union,O,1971,1971-084,
,Soviet Union,O,1971,1971-085,
,Soviet Union,O,1971,1971-088,
,Soviet Union,O,1971,1971-094,
,Soviet Union,O,1971,1971-097,
,Soviet Union,O,1971,1971-098,
,Soviet Union,O,1971,1971-099,
,Soviet Union,O,1971,1971-100,
,Soviet Union,O,1971,1971-101,
,Soviet Union,O,1971,1971-104,
,Soviet Union,O,1971,1971-105,
,Soviet Union,O,1971,1971-108,
,Soviet Union,O,1971,1971-111,
,Soviet Union,O,1971,1971-112,
,Soviet Union,O,1971,1971-113,
,Soviet Union,O,1971,1971-115,
,Soviet Union,O,1971,1971-117,
,Soviet Union,O,1971,1971-119,
,Soviet Union,O,1971,1971-120,
,Soviet Union,O,1972,1972-001,
,Soviet Union,O,1972,1972-006,
,Soviet Union,O,1972,1972-007,
,Soviet Union,O,1972,1972-008,
,Soviet Union,O,1972,1972-009,
,Soviet Union,O,1972,1972-011,
,Soviet Union,O,1972,1972-013,
,Soviet Union,O,1972,1972-015,
,Soviet Union,O,1972,1972-017,
,Soviet Union,O,1972,1972-019,
,Soviet Union,O,1972,1972-021,
,Soviet Union,O,1972,1972-022,
,Soviet Union,O,1972,1972-023,
,Soviet Union,O,1972,1972-024,
,Soviet Union,O,1972,1972-025,
,Soviet Union,O,1972,1972-026,
,Soviet Union,O,1972,1972-028,
,Soviet Union,O,1972,1972-029,
,Soviet Union,O,1972,1972-030,
,Soviet Union,O,1972,1972-033,
,Soviet Union,O,1972,1972-034,
,Soviet Union,O,1972,1972-037,
,Soviet Union,O,1972,1972-038,
,Soviet Union,O,1972,1972-040,
,Soviet Union,O,1972,1972-043,
,Soviet Union,O,1972,1972-045,
,Soviet Union,O,1972,1972-046,
,Soviet Union,O,1972,1972-047,
,Soviet Union,O,1972,1972-048,
,Soviet Union,O,1972,1972-049,
,Soviet Union,O,1972,1972-050,
,Soviet Union,O,1972,1972-051,
,Soviet Union,O,1972,1972-053,
,Soviet Union,O,1972,1972-054,
,Soviet Union,O,1972,1972-056,
,Soviet Union,O,1972,1972-057,
,Soviet Union,O,1972,1972-059,
,Soviet Union,O,1972,1972-060,
,Soviet Union,O,1972,1972-063,
,Soviet Union,O,1972,1972-066,
,Soviet Union,O,1972,1972-067,
,Soviet Union,O,1972,1972-070,
,Soviet Union,O,1972,1972-071,
,Soviet Union,O,1972,1972-074,
,Soviet Union,O,1972,1972-075,
,Soviet Union,O,1972,1972-077,
,Soviet Union,O,1972,1972-078,
,Soviet Union,O,1972,1972-081,
,Soviet Union,O,1972,1972-083,
,Soviet Union,O,1972,1972-084,
,Soviet Union,O,1972,1972-085,
,Soviet Union,O,1972,1972-086,
,Soviet Union,O,1972,1972-087,
,Soviet Union,O,1972,1972-088,
,Soviet Union,O,1972,1972-093,
,Soviet Union,O,1972,1972-095,
,Soviet Union,O,1972,1972-099,
,Soviet Union,O,1972,1972-102,
,Soviet Union,O,1972,1972-104,
,Soviet Union,O,1972,1972-105,
,Soviet Union,O,1972,1972-106,
,Soviet Union,O,1973,1973-001,
,Soviet Union,O,1973,1973-002,
,Soviet Union,O,1973,1973-003,
,Soviet Union,O,1973,1973-004,
,Soviet Union,O,1973,1973-006,
,Soviet Union,O,1973,1973-007,
,Soviet Union,O,1973,1973-008,
,Soviet Union,O,1973,1973-009,
,Soviet Union,O,1973,1973-010,
,Soviet Union,O,1973,1973-012,
,Soviet Union,O,1973,1973-015,
,Soviet Union,O,1973,1973-017,
,Soviet Union,O,1973,1973-018,
,Soviet Union,O,1973,1973-020,
,Soviet Union,O,1973,1973-021,
,Soviet Union,O,1973,1973-022,
,Soviet Union,O,1973,1973-024,
,Soviet Union,O,1973,1973-025,
,Soviet Union,O,1973,1973-026,
,Soviet Union,O,1973,1973-029,
,Soviet Union,O,1973,1973-030,
,Soviet Union,O,1973,1973-033,
,Soviet Union,O,1973,1973-035,
,Soviet Union,O,1973,1973-036,
,Soviet Union,O,1973,1973-037,
,Soviet Union,O,1973,1973-038,
,Soviet Union,O,1973,1973-041,
,Soviet Union,O,1973,1973-042,
,Soviet Union,O,1973,1973-043,
,Soviet Union,O,1973,1973-044,
,Soviet Union,O,1973,1973-045,
,Soviet Union,O,1973,1973-047,
,Soviet Union,O,1973,1973-048,
,Soviet Union,O,1973,1973-049,
,Soviet Union,O,1973,1973-052,
,Soviet Union,O,1973,1973-053,
,Soviet Union,O,1973,1973-055,
,Soviet Union,O,1973,1973-057,
,Soviet Union,O,1973,1973-059,
,Soviet Union,O,1973,1973-060,
,Soviet Union,O,1973,1973-061,
,Soviet Union,O,1973,1973-062,
,Soviet Union,O,1973,1973-063,
,Soviet Union,O,1973,1973-064,
,Soviet Union,O,1973,1973-065,
,Soviet Union,O,1973,1973-066,
,Soviet Union,O,1973,1973-067,
,Soviet Union,O,1973,1973-070,
,Soviet Union,O,1973,1973-072,
,Soviet Union,O,1973,1973-074,
,Soviet Union,O,1973,1973-075,
,Soviet Union,O,1973,1973-076,
,Soviet Union,O,1973,1973-077,
,Soviet Union,O,1973,1973-079,
,Soviet Union,O,1973,1973-080,
,Soviet Union,O,1973,1973-083,
,Soviet Union,O,1973,1973-084,
,Soviet Union,O,1973,1973-087,
,Soviet Union,O,1973,1973-089,
,Soviet Union,O,1973,1973-091,
,Soviet Union,O,1973,1973-092,
,Soviet Union,O,1973,1973-093,
,Soviet Union,O,1973,1973-094,
,Soviet Union,O,1973,1973-095,
,Soviet Union,O,1973,1973-096,
,Soviet Union,O,1973,1973-097,
,Soviet Union,O,1973,1973-098,
,Soviet Union,O,1973,1973-102,
,Soviet Union,O,1973,1973-103,
,Soviet Union,O,1973,1973-104,
,Soviet Union,O,1973,1973-105,
,Soviet Union,O,1973,1973-107,
,Soviet Union,O,1973,1973-108,
,Soviet Union,O,1973,1973-109,
,Soviet Union,O,1974,1974-001,
,Soviet Union,O,1974,1974-003,
,Soviet Union,O,1974,1974-004,
,Soviet Union,O,1974,1974-005,
,Soviet Union,O,1974,1974-010,
,Soviet Union,O,1974,1974-012,
,Soviet Union,O,1974,1974-014,
,Soviet Union,O,1974,1974-016,
,Soviet Union,O,1974,1974-019,
,Soviet Union,O,1974,1974-023,
,Soviet Union,O,1974,1974-024,
,Soviet Union,O,1974,1974-027,
,Soviet Union,O,1974,1974-029,
,Soviet Union,O,1974,1974-030,
,Soviet Union,O,1974,1974-031,
,Soviet Union,O,1974,1974-032,
,Soviet Union,O,1974,1974-034,
,Soviet Union,O,1974,1974-035,
,Soviet Union,O,1974,1974-036,
,Soviet Union,O,1974,1974-037,
,Soviet Union,O,1974,1974-038,
,Soviet Union,O,1974,1974-041,
,Soviet Union,O,1974,1974-043,
,Soviet Union,O,1974,1974-044,
,Soviet Union,O,1974,1974-046,
,Soviet Union,O,1974,1974-047,
,Soviet Union,O,1974,1974-048,
,Soviet Union,O,1974,1974-049,
,Soviet Union,O,1974,1974-050,
,Soviet Union,O,1974,1974-051,
,Soviet Union,O,1974,1974-052,
,Soviet Union,O,1974,1974-053,
,Soviet Union,O,1974,1974-057,
,Soviet Union,O,1974,1974-059,
,Soviet Union,O,1974,1974-060,
,Soviet Union,O,1974,1974-061,
,Soviet Union,O,1974,1974-066,
,Soviet Union,O,1974,1974-067,
,Soviet Union,O,1974,1974-068,
,Soviet Union,O,1974,1974-069,
,Soviet Union,O,1974,1974-071,
,Soviet Union,O,1974,1974-072,
,Soviet Union,O,1974,1974-073,
,Soviet Union,O,1974,1974-074,
,Soviet Union,O,1974,1974-076,
,Soviet Union,O,1974,1974-078,
,Soviet Union,O,1974,1974-079,
,Soviet Union,O,1974,1974-080,
,Soviet Union,O,1974,1974-081,
,Soviet Union,O,1974,1974-082,
,Soviet Union,O,1974,1974-084,
,Soviet Union,O,1974,1974-086,
,Soviet Union,O,1974,1974-087,
,Soviet Union,O,1974,1974-088,
,Soviet Union,O,1974,1974-090,
,Soviet Union,O,1974,1974-091,
,Soviet Union,O,1974,1974-092,
,Soviet Union,O,1974,1974-095,
,Soviet Union,O,1974,1974-096,
,Soviet Union,O,1974,1974-098,
,Soviet Union,O,1974,1974-099,
,Soviet Union,O,1974,1974-102,
,Soviet Union,O,1974,1974-103,
,Soviet Union,O,1974,1974-104,
,Soviet Union,O,1974,1974-105,
,Soviet Union,O,1974,1974-106,
,Soviet Union,O,1975,1975-002,
,Soviet Union,O,1975,1975-003,
,Soviet Union,O,1975,1975-005,
,Soviet Union,O,1975,1975-007,
,Soviet Union,O,1975,1975-008,
,Soviet Union,O,1975,1975-009,
,Soviet Union,O,1975,1975-012,
,Soviet Union,O,1975,1975-013,
,Soviet Union,O,1975,1975-016,
,Soviet Union,O,1975,1975-018,
,Soviet Union,O,1975,1975-019,
,Soviet Union,O,1975,1975-020,
,Soviet Union,O,1975,1975-021,
,Soviet Union,O,1975,1975-022,
,Soviet Union,O,1975,1975-023,
,Soviet Union,O,1975,1975-025,
,Soviet Union,O,1975,1975-026,
,Soviet Union,O,1975,1975-028,
,Soviet Union,O,1975,1975-029,
,Soviet Union,O,1975,1975-030,
,Soviet Union,O,1975,1975-031,
,Soviet Union,O,1975,1975-033,
,Soviet Union,O,1975,1975-034,
,Soviet Union,O,1975,1975-035,
,Soviet Union,O,1975,1975-036,
,Soviet Union,O,1975,1975-041,
,Soviet Union,O,1975,1975-044,
,Soviet Union,O,1975,1975-046,
,Soviet Union,O,1975,1975-047,
,Soviet Union,O,1975,1975-048,
,Soviet Union,O,1975,1975-050,
,Soviet Union,O,1975,1975-054,
,Soviet Union,O,1975,1975-056,
,Soviet Union,O,1975,1975-059,
,Soviet Union,O,1975,1975-060,
,Soviet Union,O,1975,1975-061,
,Soviet Union,O,1975,1975-062,
,Soviet Union,O,1975,1975-063,
,Soviet Union,O,1975,1975-064,
,Soviet Union,O,1975,1975-065,
,Soviet Union,O,1975,1975-068,
,Soviet Union,O,1975,1975-069,
,Soviet Union,O,1975,1975-071,
,Soviet Union,O,1975,1975-073,
,Soviet Union,O,1975,1975-074,
,Soviet Union,O,1975,1975-076,
,Soviet Union,O,1975,1975-078,
,Soviet Union,O,1975,1975-079,
,Soviet Union,O,1975,1975-080,
,Soviet Union,O,1975,1975-081,
,Soviet Union,O,1975,1975-084,
,Soviet Union,O,1975,1975-085,
,Soviet Union,O,1975,1975-086,
,Soviet Union,O,1975,1975-087,
,Soviet Union,O,1975,1975-088,
,Soviet Union,O,1975,1975-089,
,Soviet Union,O,1975,1975-090,
,Soviet Union,O,1975,1975-097,
,Soviet Union,O,1975,1975-101,
,Soviet Union,O,1975,1975-102,
,Soviet Union,O,1975,1975-103,
,Soviet Union,O,1975,1975-104,
,Soviet Union,O,1975,1975-105,
,Soviet Union,O,1975,1975-106,
,Soviet Union,O,1975,1975-109,
,Soviet Union,O,1975,1975-110,
,Soviet Union,O,1975,1975-112,
,Soviet Union,O,1975,1975-115,
,Soviet Union,O,1975,1975-116,
,Soviet Union,O,1975,1975-120,
,Soviet Union,O,1975,1975-123,
,Soviet Union,O,1975,1975-124,
,Soviet Union,O,1976,1976-002,
,Soviet Union,O,1976,1976-005,
,Soviet Union,O,1976,1976-006,
,Soviet Union,O,1976,1976-007,
,Soviet Union,O,1976,1976-008,
,Soviet Union,O,1976,1976-009,
,Soviet Union,O,1976,1976-011,
,Soviet Union,O,1976,1976-012,
,Soviet Union,O,1976,1976-013,
,Soviet Union,O,1976,1976-014,
,Soviet Union,O,1976,1976-015,
,Soviet Union,O,1976,1976-018,
,Soviet Union,O,1976,1976-021,
,Soviet Union,O,1976,1976-022,
,Soviet Union,O,1976,1976-024,
,Soviet Union,O,1976,1976-025,
,Soviet Union,O,1976,1976-026,
,Soviet Union,O,1976,1976-028,
,Soviet Union,O,1976,1976-030,
,Soviet Union,O,1976,1976-032,
,Soviet Union,O,1976,1976-033,
,Soviet Union,O,1976,1976-034,
,Soviet Union,O,1976,1976-036,
,Soviet Union,O,1976,1976-040,
,Soviet Union,O,1976,1976-041,
,Soviet Union,O,1976,1976-043,
,Soviet Union,O,1976,1976-044,
,Soviet Union,O,1976,1976-045,
,Soviet Union,O,1976,1976-046,
,Soviet Union,O,1976,1976-049,
,Soviet Union,O,1976,1976-051,
,Soviet Union,O,1976,1976-052,
,Soviet Union,O,1976,1976-054,
,Soviet Union,O,1976,1976-055,
,Soviet Union,O,1976,1976-056,
,Soviet Union,O,1976,1976-057,
,Soviet Union,O,1976,1976-058,
,Soviet Union,O,1976,1976-060,
,Soviet Union,O,1976,1976-062,
,Soviet Union,O,1976,1976-063,
,Soviet Union,O,1976,1976-067,
,Soviet Union,O,1976,1976-068,
,Soviet Union,O,1976,1976-069,
,Soviet Union,O,1976,1976-071,
,Soviet Union,O,1976,1976-072,
,Soviet Union,O,1976,1976-074,
,Soviet Union,O,1976,1976-075,
,Soviet Union,O,1976,1976-076,
,Soviet Union,O,1976,1976-078,
,Soviet Union,O,1976,1976-079,
,Soviet Union,O,1976,1976-082,
,Soviet Union,O,1976,1976-083,
,Soviet Union,O,1976,1976-084,
,Soviet Union,O,1976,1976-085,
,Soviet Union,O,1976,1976-086,
,Soviet Union,O,1976,1976-088,
,Soviet Union,O,1976,1976-092,
,Soviet Union,O,1976,1976-093,
,Soviet Union,O,1976,1976-096,
,Soviet Union,O,1976,1976-097,
,Soviet Union,O,1976,1976-099,
,Soviet Union,O,1976,1976-100,
,Soviet Union,O,1976,1976-102,
,Soviet Union,O,1976,1976-103,
,Soviet Union,O,1976,1976-105,
,Soviet Union,O,1976,1976-107,
,Soviet Union,O,1976,1976-108,
,Soviet Union,O,1976,1976-109,
,Soviet Union,O,1976,1976-110,
,Soviet Union,O,1976,1976-111,
,Soviet Union,O,1976,1976-112,
,Soviet Union,O,1976,1976-113,
,Soviet Union,O,1976,1976-114,
,Soviet Union,O,1976,1976-115,
,Soviet Union,O,1976,1976-118,
,Soviet Union,O,1976,1976-119,
,Soviet Union,O,1976,1976-120,
,Soviet Union,O,1976,1976-121,
,Soviet Union,O,1976,1976-122,
,Soviet Union,O,1976,1976-123,
,Soviet Union,O,1976,1976-127,
,Soviet Union,O,1976,1976-128,
,Soviet Union,O,1977,1977-001,
,Soviet Union,O,1977,1977-002,
,Soviet Union,O,1977,1977-003,
,Soviet Union,O,1977,1977-004,
,Soviet Union,O,1977,1977-006,
,Soviet Union,O,1977,1977-008,
,Soviet Union,O,1977,1977-009,
,Soviet Union,O,1977,1977-010,
,Soviet Union,O,1977,1977-013,
,Soviet Union,O,1977,1977-015,
,Soviet Union,O,1977,1977-016,
,Soviet Union,O,1977,1977-017,
,Soviet Union,O,1977,1977-020,
,Soviet Union,O,1977,1977-021,
,Soviet Union,O,1977,1977-022,
,Soviet Union,O,1977,1977-023,
,Soviet Union,O,1977,1977-024,
,Soviet Union,O,1977,1977-025,
,Soviet Union,O,1977,1977-026,
,Soviet Union,O,1977,1977-027,
,Soviet Union,O,1977,1977-028,
,Soviet Union,O,1977,1977-031,
,Soviet Union,O,1977,1977-032,
,Soviet Union,O,1977,1977-035,
,Soviet Union,O,1977,1977-037,
,Soviet Union,O,1977,1977-039,
,Soviet Union,O,1977,1977-040,
,Soviet Union,O,1977,1977-042,
,Soviet Union,O,1977,1977-043,
,Soviet Union,O,1977,1977-045,
,Soviet Union,O,1977,1977-046,
,Soviet Union,O,1977,1977-047,
,Soviet Union,O,1977,1977-049,
,Soviet Union,O,1977,1977-050,
,Soviet Union,O,1977,1977-051,
,Soviet Union,O,1977,1977-052,
,Soviet Union,O,1977,1977-054,
,Soviet Union,O,1977,1977-055,
,Soviet Union,O,1977,1977-057,
,Soviet Union,O,1977,1977-058,
,Soviet Union,O,1977,1977-059,
,Soviet Union,O,1977,1977-060,
,Soviet Union,O,1977,1977-061,
,Soviet Union,O,1977,1977-062,
,Soviet Union,O,1977,1977-064,
,Soviet Union,O,1977,1977-067,
,Soviet Union,O,1977,1977-069,
,Soviet Union,O,1977,1977-070,
,Soviet Union,O,1977,1977-071,
,Soviet Union,O,1977,1977-073,
,Soviet Union,O,1977,1977-074,
,Soviet Union,O,1977,1977-077,
,Soviet Union,O,1977,1977-078,
,Soviet Union,O,1977,1977-081,
,Soviet Union,O,1977,1977-083,
,Soviet Union,O,1977,1977-085,
,Soviet Union,O,1977,1977-086,
,Soviet Union,O,1977,1977-087,
,Soviet Union,O,1977,1977-088,
,Soviet Union,O,1977,1977-089,
,Soviet Union,O,1977,1977-090,
,Soviet Union,O,1977,1977-091,
,Soviet Union,O,1977,1977-093,
,Soviet Union,O,1977,1977-095,
,Soviet Union,O,1977,1977-096,
,Soviet Union,O,1977,1977-097,
,Soviet Union,O,1977,1977-098,
,Soviet Union,O,1977,1977-100,
,Soviet Union,O,1977,1977-103,
,Soviet Union,O,1977,1977-104,
,Soviet Union,O,1977,1977-109,
,Soviet Union,O,1977,1977-110,
,Soviet Union,O,1977,1977-111,
,Soviet Union,O,1977,1977-113,
,Soviet Union,O,1977,1977-116,
,Soviet Union,O,1977,1977-117,
,Soviet Union,O,1977,1977-119,
,Soviet Union,O,1977,1977-120,
,Soviet Union,O,1977,1977-121,
,Soviet Union,O,1977,1977-122,
,Soviet Union,O,1977,1977-123,
,Soviet Union,O,1977,1977-124,
,Soviet Union,O,1978,1978-001,
,Soviet Union,O,1978,1978-003,
,Soviet Union,O,1978,1978-004,
,Soviet Union,O,1978,1978-005,
,Soviet Union,O,1978,1978-006,
,Soviet Union,O,1978,1978-007,
,Soviet Union,O,1978,1978-008,
,Soviet Union,O,1978,1978-009,
,Soviet Union,O,1978,1978-010,
,Soviet Union,O,1978,1978-013,
,Soviet Union,O,1978,1978-015,
,Soviet Union,O,1978,1978-017,
,Soviet Union,O,1978,1978-019,
,Soviet Union,O,1978,1978-023,
,Soviet Union,O,1978,1978-024,
,Soviet Union,O,1978,1978-025,
,Soviet Union,O,1978,1978-027,
,Soviet Union,O,1978,1978-028,
,Soviet Union,O,1978,1978-030,
,Soviet Union,O,1978,1978-031,
,Soviet Union,O,1978,1978-032,
,Soviet Union,O,1978,1978-034,
,Soviet Union,O,1978,1978-037,
,Soviet Union,O,1978,1978-040,
,Soviet Union,O,1978,1978-043,
,Soviet Union,O,1978,1978-045,
,Soviet Union,O,1978,1978-048,
,Soviet Union,O,1978,1978-049,
,Soviet Union,O,1978,1978-050,
,Soviet Union,O,1978,1978-052,
,Soviet Union,O,1978,1978-053,
,Soviet Union,O,1978,1978-054,
,Soviet Union,O,1978,1978-055,
,Soviet Union,O,1978,1978-056,
,Soviet Union,O,1978,1978-057,
,Soviet Union,O,1978,1978-059,
,Soviet Union,O,1978,1978-061,
,Soviet Union,O,1978,1978-063,
,Soviet Union,O,1978,1978-065,
