continent,country,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
North America,El Salvador,San Salvador,301,277,294,243,220,174,239,257,180,211,267,294,2957
North America,Saint Pierre and Miquelon,Saint-Pierre,49.6,70.2,115.5,131.9,165.8,172.6,164.8,173.5,156.1,119,63,45.4,1427.3
South America,Argentina,Buenos Aires,279,240.8,229,220,173.6,132,142.6,173.6,189,227,252,266.6,2525.2
South America,Argentina,Ushuaia,180.2,150.4,124.9,92.7,78,50.3,35,58.3,87.6,113,140,170.8,1281.2
South America,Argentina,Mendoza,297.6,257.6,235.6,219,195.3,168,182.9,229.4,225,282.1,294,285.2,2871.7
South America,Argentina,La Plata,251.1,229.6,210.8,186,155,120,127.1,161.2,171,207.7,225,238.7,2283.2
South America,Bolivia,La Paz,182.9,152.6,148.8,165,222.7,240,235.6,217,189,179.8,171,186,2288.9
South America,Brazil,São Paulo,170.6,162.2,167.1,165.8,182.3,172.6,187.1,175.3,152.6,153.9,163,150.8,2003.3
South America,Brazil,Brasília,154.4,157.5,180.9,201.1,234.3,253.4,266.5,262.9,203.2,168.2,142.5,138.1,2363.3
South America,Brazil,Rio de Janeiro,211.9,201.3,206.4,181,186.3,175.1,188.6,184.8,146.2,152.1,168.5,179.6,2181.1
South America,Brazil,Fortaleza,225.2,182.3,150,157.1,208.4,238.7,268.3,295.9,281.6,291.4,282.2,262.3,2843.4
South America,Brazil,Manaus,114.3,87.7,98.5,111.9,148.6,184.8,214.2,225,200.5,171.2,140.9,130.9,1828.5
South America,Brazil,Curitiba,184.4,160.8,172,164.2,178.3,160.2,173.4,175.4,134.1,155.5,177,170.9,2006.2
South America,Colombia,Bogotá,156,128,107,88,83,94,114,117,109,96,103,138,1328
South America,Colombia,Barranquilla,283,245,241,211,187,194,217,208,166,167,191,252,2561
South America,Colombia,Medellín,175.5,149,154.2,127.9,138.9,173,203.2,191.6,153.4,132.9,136.4,156.2,1892.2
South America,Colombia,Cali,183,155.8,166.5,139,147.1,153.1,189.9,175.1,157.4,151.1,153.8,170.1,1941.9
South America,Colombia,Buenaventura,87,87,96,105,99,99,115,124,93,99,87,87,1178
South America,Colombia,Totoró,73,58,53,48,60,47,49,52,50,43,47,57,637
South America,Chile,Santiago,362.7,302.3,272.8,201,155,120,145.7,161.2,186,248,306,347.2,2807.9
South America,Chile,Antofagasta,319.3,291,294.5,252,229.4,207,204.6,213.9,219,260.4,276,310,3077.1
