Region,Country,City,Unit,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Americas,Peru,Lima,Rate,3.9,3.1,5.7,5.5,8,6.2,6.5,5.1,5.3,6.6,5.7,5.7,6,7.7,
Americas,Peru,Piura,Count,,,,,,,,,,,,48,54,46,
Americas,Peru,Piura,Rate,,,,,,,,,,,,5.6,6.2,5.2,
Americas,Saint Kitts and Nevis,Basseterre,Count,,,5,4,8,8,12,6,17,,,,,,
Americas,Saint Kitts and Nevis,Basseterre,Rate,,,32.5,25.6,50.6,50,73.2,35.5,99.5,,,,,,
Americas,Saint Lucia,CASTRIES,Count,,,,,11,11,4,5,5,5,,,,,
Americas,Saint Lucia,CASTRIES,Rate,,,,,99.2,99.2,36.1,45.1,45.1,45.1,,,,,
Americas,Trinidad and Tobago,Port of Spain,Count,,77,117,99,86,164,128,93,94,104,122,81,87,,
Americas,Trinidad and Tobago,Port of Spain,Rate,,14.3,21.4,18.1,15.7,30,23.2,17,17.2,18.6,21.7,14.4,15.4,,
Americas,Trinidad and Tobago,San Fernando,Count,,,,,,,8,13,7,8,10,10,11,,
Americas,Trinidad and Tobago,San Fernando,Rate,,,,,,,16.5,26.8,14.3,16.3,20.3,20.2,22.1,,
Americas,United States of America,Chicago,Count,,,,,,,,432,431,500,414,411,478,765,
Americas,United States of America,Chicago,Rate,,,,,,,,15.2,15.9,18.5,15.2,15.1,17.5,,
Americas,United States of America,Los Angeles,Count,,,,,,,,293,297,299,251,260,282,293,
Americas,United States of America,Los Angeles,Rate,,,,,,,,7.6,7.7,7.8,6.5,6.7,7.1,,
Americas,United States of America,New York City,Count,597,570,539,596,496,523,471,536,515,419,335,333,352,335,
Americas,United States of America,New York City,Rate,7.7,7.3,6.8,7.5,6.2,6.4,5.6,6.4,6.3,5.1,4,3.9,4.1,,
Americas,Uruguay,CIUDAD DE LA COSTA,Count,,,,,,,,,,,,,4,8,
Americas,Uruguay,CIUDAD DE LA COSTA,Rate,,,,,,,,,,,,,3.2,6.3,
Americas,Uruguay,CIUDAD DE SALTO,Count,,,,,,,,,,,,,8,7,
Americas,Uruguay,CIUDAD DE SALTO,Rate,,,,,,,,,,,,,7.7,6.7,
Americas,Uruguay,Montevideo,Count,,,,90,82,107,110,107,112,155,163,153,169,146,
Americas,Uruguay,Montevideo,Rate,,,,6.7,6.1,7.9,8.1,7.9,8.2,11.4,11.9,11.1,12.3,10.6,
Americas,Venezuela (Bolivarian Republic of),Caracas,Count,,,"1,926","2,218","2,710","2,653","2,550",,,,,,,,
Americas,Venezuela (Bolivarian Republic of),Caracas,Rate,,,88,107,130.5,127,122,,,,,,,,
Asia,Armenia,Gyumri,Count,,,,,,,,2,2,3,2,5,9,8,4
Asia,Armenia,Gyumri,Rate,,,,,,,,1.6,1.6,2.5,1.6,4.2,7.6,6.8,
Asia,Armenia,Vanadzor,Count,,,,,,,,3,2,1,3,1,1,2,3
Asia,Armenia,Vanadzor,Rate,,,,,,,,3.3,2.3,1.2,3.5,1.2,1.2,2.4,
Asia,Armenia,Yerevan,Count,,34,20,28,33,41,37,26,26,25,22,27,29,34,23
Asia,Armenia,Yerevan,Rate,,3.1,1.8,2.6,3.1,3.8,3.5,2.4,2.4,2.4,2.1,2.5,2.7,3.2,
Asia,Azerbaijan,Baku,Count,,,70,70,67,67,,70,,69,86,85,82,72,64
Asia,Azerbaijan,Baku,Rate,,,3.5,3.5,3.3,3.3,,3.3,,3.2,3.9,3.9,,3.2,
Asia,Azerbaijan,Ganja,Count,,,,,,,,,,,,,10,12,7
Asia,Azerbaijan,Ganja,Rate,,,,,,,,,,,,,,3.6,
Asia,Azerbaijan,Sumqayit,Count,,,,,,,,,,,,,8,12,8
Asia,Azerbaijan,Sumqayit,Rate,,,,,,,,,,,,,,3.5,
Asia,Bahrain,Manama,Count,,,,,0,0,,,,,,,,,
Asia,Bahrain,Manama,Rate,,,,,0,0,,,,,,,,,
Asia,Bangladesh,Dhaka,Count,,,231,344,,,,,,,,,,,
Asia,Bangladesh,Dhaka,Rate,,,3.6,5.3,,,,,,,,,,,
Asia,Bhutan,Chhukha,Count,,,,,,,,,,,,,2,3,
Asia,Bhutan,Chhukha,Rate,,,,,,,,,,,,,2.3,3.4,
Asia,Bhutan,Samtse,Count,,,,,,,,,,,,,0,0,
Asia,Bhutan,Samtse,Rate,,,,,,,,,,,,,0,0,
Asia,Bhutan,Thimphu,Count,,,,,,2,0,2,4,8,1,,3,2,
Asia,Bhutan,Thimphu,Rate,,,,,,1.9,0,1.8,3.6,7.2,0.9,,2.6,1.7,
Asia,Brunei Darussalam,Bandar Seri Begawan,Count,,,0,1,,,,,,,,,,,
Asia,Brunei Darussalam,Bandar Seri Begawan,Rate,,,0,0.7,,,,,,,,,,,
Asia,Cyprus,Nicosia,Count,,4,3,8,3,3,3,4,2,5,4,3,4,2,
Asia,Cyprus,Nicosia,Rate,,1.4,1,2.6,1,1,0.9,1.2,0.6,1.5,1.2,0.9,1.2,0.6,
Asia,Georgia,Tbilisi,Count,,84,141,86,90,56,57,39,,,,,,18,
Asia,Georgia,Tbilisi,Rate,,7.2,13.1,7.8,8.2,4.9,5,3.4,,,,,,1.6,
Asia,Hong Kong Special Administrative Region,HKSAR,Count,52,45,34,35,18,36,47,35,17,27,62,27,22,28,24
Asia,Hong Kong Special Administrative Region,HKSAR,Rate,,0.7,0.5,0.5,0.3,0.5,0.7,0.5,0.2,0.4,0.9,,,,
Asia,India,Mumbai,Count,,253,212,239,230,210,217,228,203,215,170,,,,
Asia,India,Mumbai,Rate,,1.5,1.3,1.4,1.3,1.2,1.2,1.3,1.1,1.2,0.9,,,,
Asia,Indonesia,Jakarta,Count,,,,,,67,75,86,74,72,80,72,,,
Asia,Indonesia,Jakarta,Rate,,,,,,0.3,0.3,0.4,0.3,0.3,0.3,0.3,,,
Asia,Iraq (Central Iraq),Al-Basrah,Count,,,,,,,350,245,229,223,496,294,,,
Asia,Iraq (Central Iraq),Al-Basrah,Rate,,,,,,,32.1,22.4,21,16.8,37.3,22.1,,,
Asia,Iraq (Central Iraq),Al-Mawsil,Count,,,,,,,304,223,217,198,232,249,,,
Asia,Iraq (Central Iraq),Al-Mawsil,Rate,,,,,,,26.7,19.6,19.1,15,17.6,18.9,,,
Asia,Iraq (Central Iraq),Baghdad,Count,,,,,,"1,210",684,827,853,788,"1,287","1,398",,,
Asia,Iraq (Central Iraq),Baghdad,Rate,,,,,,19.4,10.7,12.5,12.5,11.2,17.7,18.4,,,
Asia,Israel,Tel Aviv,Count,,19,24,15,17,18,,,,,,,,,
Asia,Israel,Tel Aviv,Rate,,5,6.1,3.8,4.3,4.6,,,,,,,,,
Asia,Japan,Tokyo,Count,,,47,55,55,83,54,39,32,36,,,,,
Asia,Japan,Tokyo,Rate,,,0.4,0.4,0.4,0.6,0.4,0.3,0.2,0.3,,,,,
Asia,Jordan,Amman,Count,,,23,40,37,40,39,30,58,71,,,,,
Asia,Jordan,Amman,Rate,,,2.2,3.6,3.2,3.3,3.1,2.2,4.1,4.7,,,,,
Asia,Kazakhstan,Almaty,Count,,,173,165,130,170,134,125,144,114,106,88,88,,
Asia,Kazakhstan,Almaty,Rate,,,12.7,12,9.4,12.2,9.5,8.7,9.9,7.7,7,5.8,5.7,,
Asia,Kuwait,Kuwait City,Count,,,8,9,12,11,11,,,,,,,,
