"Sex";"Age";"Periods";"Total suicides (number)";"Marital status/Unmarried (number)";"Marital status/Married (number)";"Marital status/Widowed (number)";"Marital status/Divorced (number)";"Methods of suicide/Hanging/strangulation (number)";"Methods of suicide/Drugs/medicines/alcohol (number)";"Methods of suicide/Train/metro (number)";"Methods of suicide/Drowning (number)";"Methods of suicide/Jumping from height (number)";"Methods of suicide/Other method (number)";"Methods of suicide/Method unknown (number)";"Suicide motives/Mental disorder (number)";"Suicide motives/Physical disorder (number)";"Suicide motives/Domestic circumstances (number)";"Suicide motives/Other motive (number)";"Suicide motives/Motive unknown (number)";"Relative figures/Total suicides (Per 100 000 of the average population)";"Relative figures/Marital status/Unmarried (Per 100 000 of the average population)";"Relative figures/Marital status/Married (Per 100 000 of the average population)";"Relative figures/Marital status/Widowed (Per 100 000 of the average population)";"Relative figures/Marital status/Divorced (Per 100 000 of the average population)"
"Men";"20 to 29 years";"1977";"     143";"      99";"      38";"       0";"       6";"      58";"      24";"";"       9";"      15";"      37";"       0";"      78";"       2";"       6";"       3";"      54";"    12.0";"    15.7";"     7.0";"     0.0";"    46.4"
"Men";"20 to 29 years";"1978";"     145";"     119";"      18";"       0";"       8";"      50";"      23";"";"       5";"      20";"      47";"       0";"      56";"       7";"       8";"      10";"      64";"    12.3";"    18.2";"     3.5";"     0.0";"    59.0"
"Men";"20 to 29 years";"1979";"     129";"     104";"      19";"       0";"       6";"      46";"      11";"      15";"      11";"      16";"      30";"       0";"      58";"       3";"       7";"       9";"      52";"    10.9";"    15.2";"     3.9";"     0.0";"    42.1"
"Men";"20 to 29 years";"1980";"     170";"     142";"      19";"       1";"       8";"      55";"      27";"      24";"       8";"      32";"      24";"       0";"      77";"       0";"       7";"      12";"      74";"    14.2";"    19.8";"     4.1";"   273.6";"    53.8"
"Men";"20 to 29 years";"1981";"     139";"     110";"      19";"       0";"      10";"      47";"      20";"      28";"       4";"      13";"      27";"       0";"      61";"       4";"      16";"       7";"      51";"    11.4";"    14.7";"     4.2";"     0.0";"    64.3"
"Men";"20 to 29 years";"1982";"     147";"     121";"      24";"       0";"       2";"      58";"      18";"      21";"       4";"      22";"      24";"       0";"      77";"       1";"      12";"       4";"      53";"    12.0";"    15.5";"     5.6";"     0.0";"    12.8"
"Men";"20 to 29 years";"1983";"     177";"     135";"      35";"       0";"       7";"      60";"      21";"      33";"       7";"      26";"      30";"       0";"      79";"       0";"      17";"      16";"      65";"    14.3";"    16.7";"     8.5";"     0.0";"    45.4"
"Men";"20 to 29 years";"1984";"     185";"     157";"      21";"       0";"       7";"      78";"      18";"      24";"       7";"      31";"      27";"       0";"      73";"       1";"      25";"      16";"      70";"    14.8";"    18.5";"     5.5";"     0.0";"    44.7"
"Men";"20 to 29 years";"1985";"     206";"     179";"      18";"       0";"       9";"      72";"      24";"      37";"       8";"      25";"      40";"       0";"      72";"       3";"      32";"      13";"      86";"    16.3";"    20.2";"     5.0";"     0.0";"    57.5"
"Men";"20 to 29 years";"1986";"     171";"     148";"      15";"       0";"       8";"      64";"      19";"      33";"       1";"      23";"      31";"       0";"      68";"       1";"      21";"       8";"      73";"    13.4";"    16.2";"     4.3";"     0.0";"    53.6"
"Men";"20 to 29 years";"1987";"     176";"     154";"      15";"       0";"       7";"      60";"      22";"      35";"       6";"      28";"      25";"       0";"      51";"       0";"      19";"      13";"      93";"    13.7";"    16.4";"     4.5";"     0.0";"    50.5"
"Men";"20 to 29 years";"1988";"     179";"     162";"      16";"       0";"       1";"      66";"      13";"      39";"       9";"      28";"      23";"       1";"      72";"       4";"      22";"       5";"      76";"    13.8";"    16.8";"     5.0";"     0.0";"     7.6"
"Men";"20 to 29 years";"1989";"     185";"     170";"      12";"       0";"       3";"      65";"      13";"      47";"       6";"      29";"      25";"       0";"      98";"       0";"      25";"      12";"      50";"    14.2";"    17.4";"     3.9";"     0.0";"    24.2"
"Men";"20 to 29 years";"1990";"     145";"     128";"      14";"       0";"       3";"      58";"       7";"      29";"       4";"      21";"      26";"       0";"      63";"       2";"      27";"       8";"      45";"    11.1";"    12.8";"     4.7";"     0.0";"    25.2"
"Men";"20 to 29 years";"1991";"     179";"     165";"       9";"       2";"       3";"      67";"      15";"      25";"       8";"      30";"      34";"       0";"      77";"       5";"      29";"      12";"      56";"    13.6";"    16.3";"     3.1";"   947.9";"    26.0"
"Men";"20 to 29 years";"1992";"     176";"     154";"      17";"       0";"       5";"      74";"      11";"      43";"       2";"      16";"      30";"       0";"      81";"       2";"      20";"      17";"      56";"    13.4";"    15.0";"     6.2";"     0.0";"    43.8"
"Men";"20 to 29 years";"1993";"     187";"     167";"      17";"       0";"       3";"      80";"      18";"      35";"       8";"      17";"      29";"       0";"      98";"       4";"      34";"      15";"      36";"    14.4";"    16.3";"     6.6";"     0.0";"    26.3"
"Men";"20 to 29 years";"1994";"     164";"     144";"      18";"       0";"       2";"      67";"      16";"      37";"       7";"      12";"      25";"       0";"      82";"       2";"      18";"      15";"      47";"    13.0";"    14.2";"     7.6";"     0.0";"    18.1"
"Men";"20 to 29 years";"1995";"     163";"     152";"       7";"       1";"       3";"      56";"      16";"      40";"       5";"      21";"      25";"       0";"      71";"       6";"      18";"      17";"      51";"    13.3";"    15.2";"     3.2";"   506.3";"    28.0"
"Men";"20 to 29 years";"1996";"     165";"     153";"       9";"       0";"       3";"      67";"      18";"      30";"       7";"      17";"      25";"       1";"      57";"       4";"      12";"      24";"      68";"    13.8";"    15.5";"     4.6";"     0.0";"    29.0"
"Men";"20 to 29 years";"1997";"     178";"     161";"      12";"       0";"       5";"      75";"      20";"      34";"       5";"      15";"      25";"       4";"      70";"       7";"      18";"      16";"      67";"    15.3";"    16.5";"     6.7";"     0.0";"    51.6"
"Men";"20 to 29 years";"1998";"     160";"     144";"       9";"       0";"       7";"      76";"      17";"      30";"       3";"      17";"      16";"       1";"      76";"       3";"      24";"      21";"      36";"    14.2";"    15.1";"     5.4";"     0.0";"    79.8"
"Men";"20 to 29 years";"1999";"     139";"     124";"      12";"       2";"       1";"      60";"      11";"      26";"       7";"      13";"      22";"       0";"      70";"       3";"      26";"       8";"      32";"    12.7";"    13.2";"     7.9";"  1384.1";"    13.0"
"Men";"20 to 29 years";"2000";"     118";"     109";"       8";"       0";"       1";"      58";"       6";"      18";"       3";"      18";"      14";"       1";"      52";"       1";"      14";"      16";"      35";"    11.1";"    11.9";"     5.7";"     0.0";"    15.0"
"Men";"20 to 29 years";"2001";"     115";"     108";"       6";"       0";"       1";"      31";"      10";"      27";"       7";"      20";"      20";"       0";"      38";"       3";"       4";"      19";"      51";"    11.0";"    11.9";"     4.7";"     0.0";"    16.6"
"Men";"20 to 29 years";"2002";"     119";"     110";"       7";"       0";"       2";"      46";"      17";"      22";"       2";"      23";"       8";"       1";"      50";"       4";"      16";"      17";"      32";"    11.7";"    12.3";"     5.9";"     0.0";"    37.5"
"Men";"20 to 29 years";"2003";"     119";"     111";"       7";"       0";"       1";"      59";"       7";"      22";"       3";"      15";"      12";"       1";"      45";"       0";"      14";"      10";"      50";"    11.9";"    12.5";"     6.3";"     0.0";"    22.0"
"Men";"20 to 29 years";"2004";"     107";"      97";"       7";"       1";"       2";"      37";"      10";"      26";"       3";"      13";"      18";"       0";"      48";"       0";"      10";"      18";"      31";"    10.8";"    11.0";"     6.6";"  1041.7";"    48.4"
"Men";"20 to 29 years";"2005";"     112";"     107";"       4";"       0";"       1";"      45";"      15";"      22";"       2";"       9";"      19";"       0";"      50";"       1";"      12";"      14";"      35";"    11.4";"    12.1";"     4.0";"     0.0";"    25.4"
"Men";"20 to 29 years";"2006";"     122";"     117";"       3";"       0";"       2";"      48";"      10";"      32";"       3";"      18";"      10";"       1";"      63";"       1";"      14";"      11";"      33";"    12.4";"    13.2";"     3.1";"     0.0";"    52.7"
"Men";"20 to 29 years";"2007";"     103";"      95";"       6";"       1";"       1";"      39";"       9";"      26";"       2";"       8";"      18";"       1";"      53";"       0";"       6";"      17";"      27";"    10.4";"    10.7";"     6.5";"  1612.9";"    26.8"
"Men";"20 to 29 years";"2008";"     101";"      93";"       7";"       0";"       1";"      54";"      13";"      15";"       3";"      11";"       5";"       0";"      47";"       0";"      14";"      15";"      25";"    10.1";"    10.3";"     7.8";"     0.0";"    27.5"
"Men";"20 to 29 years";"2009";"     101";"      96";"       4";"       1";"       0";"      42";"       6";"      24";"       1";"      13";"      14";"       1";"      49";"       2";"      10";"      10";"      30";"    10.0";"    10.5";"     4.4";"  1574.8";"     0.0"
"Men";"20 to 29 years";"2010";"     112";"     107";"       5";"       0";"       0";"      57";"       9";"      21";"       3";"      13";"       9";"       0";"      47";"       0";"       9";"       4";"      52";"    11.0";"    11.5";"     5.6";"     0.0";"     0.0"
"Men";"20 to 29 years";"2011";"     131";"     121";"      10";"       0";"       0";"      57";"       7";"      32";"       4";"      18";"      13";"       0";"      63";"       2";"      13";"      13";"      40";"    12.7";"    12.9";"    11.3";"     0.0";"     0.0"
"Men";"20 to 29 years";"2012";"     134";"     126";"       7";"       0";"       1";"      57";"      10";"      25";"       3";"      20";"      19";"       0";"      55";"       2";"      18";"      11";"      48";"    12.8";"    13.2";"     8.0";"     0.0";"    25.9"
"Men";"20 to 29 years";"2013";"     130";"     123";"       4";"       0";"       3";"      55";"      11";"      33";"       8";"      15";"       8";"       0";"      58";"       2";"      13";"       6";"      51";"    12.3";"    12.7";"     4.7";"     0.0";"    75.9"
"Men";"20 to 29 years";"2014";"     104";"     101";"       2";"       0";"       1";"      47";"       7";"      23";"       4";"      11";"      12";"       0";"      46";"       1";"      10";"       4";"      43";"     9.8";"    10.3";"     2.4";"     0.0";"    25.2"
"Men";"20 to 29 years";"2015";"     133";"     129";"       3";"       0";"       1";"      72";"       9";"      25";"       2";"      16";"       9";"       0";"      57";"       1";"      19";"       7";"      49";"    12.4";"    13.0";"     3.7";"     0.0";"    25.9"
"Men";"20 to 29 years";"2016";"     124";"     114";"       8";"       0";"       2";"      51";"      12";"      36";"       4";"      11";"      10";"       0";"      78";"       2";"       7";"       6";"      31";"    11.4";"    11.4";"    10.0";"     0.0";"    53.7"
"Men";"20 to 29 years";"2017";"     146";"     138";"       8";"       0";"       0";"      79";"      11";"      29";"       3";"      10";"      14";"       0";"      95";"       2";"      20";"       6";"      23";"    13.3";"    13.6";"    10.1";"     0.0";"     0.0"
"Men";"20 to 29 years";"2018";"     146";"     140";"       5";"       0";"       1";"      64";"      12";"      33";"       4";"      15";"      18";"       0";"      98";"       2";"      13";"       3";"      30";"    13.2";"    13.6";"     6.4";"     0.0";"    27.9"
"Men";"20 to 29 years";"2019*";"     127";"     125";"       2";"       0";"       0";"      57";"      12";"      26";"       5";"      18";"       8";"       1";"      73";"       3";"      11";"      15";"      25";"    11.3";"    12.0";"     2.6";"     0.0";"     0.0"
"Men";"30 to 39 years";"1950";"      36";"      11";"      22";"       2";"       1";"      17";"       2";"";"       3";"       3";"       8";"       3";"       9";"       2";"       2";"       4";"      19";"     5.3";"    10.2";"     3.9";"    99.4";"    12.3"
"Men";"30 to 39 years";"1951";"      43";"      15";"      26";"       1";"       1";"      15";"       1";"";"      13";"       1";"      11";"       2";"       0";"       0";"       0";"       0";"      43";"     6.2";"    14.0";"     4.5";"    55.3";"    12.7"
"Men";"30 to 39 years";"1952";"      41";"      16";"      22";"       2";"       1";"      14";"       1";"";"       7";"       0";"      16";"       3";"       0";"       0";"       0";"       0";"      41";"     5.9";"    15.2";"     3.8";"   120.5";"    13.2"
"Men";"30 to 39 years";"1953";"      54";"      17";"      32";"       3";"       2";"      19";"       3";"";"       9";"       1";"      14";"       8";"       0";"       0";"       0";"       0";"      54";"     7.7";"    16.4";"     5.4";"   186.7";"    27.6"
"Men";"30 to 39 years";"1954";"      34";"      10";"      23";"       1";"       0";"       8";"       2";"";"       5";"       1";"      12";"       6";"       0";"       0";"       0";"       0";"      34";"     4.8";"     9.8";"     3.9";"    64.5";"     0.0"
"Men";"30 to 39 years";"1955";"      30";"       7";"      21";"       0";"       2";"       8";"       0";"";"       9";"       1";"      10";"       2";"      13";"       2";"       0";"       2";"      13";"     4.2";"     7.0";"     3.5";"     0.0";"    29.9"
"Men";"30 to 39 years";"1956";"      42";"      12";"      28";"       0";"       2";"      21";"       0";"";"       6";"       2";"      11";"       2";"       0";"       0";"       0";"       0";"      42";"     5.8";"    12.1";"     4.6";"     0.0";"    30.8"
"Men";"30 to 39 years";"1957";"      42";"      23";"      19";"       0";"       0";"      15";"       3";"";"       9";"       0";"      11";"       4";"      15";"       0";"       3";"       5";"      19";"     5.8";"    23.8";"     3.0";"     0.0";"     0.0"
"Men";"30 to 39 years";"1958";"      36";"      21";"      15";"       0";"       0";"      18";"       1";"";"       6";"       0";"       8";"       3";"       0";"       0";"       0";"       0";"      36";"     4.9";"    22.1";"     2.4";"     0.0";"     0.0"
"Men";"30 to 39 years";"1959";"      61";"      25";"      32";"       0";"       4";"      20";"       3";"";"       7";"       1";"      23";"       7";"       0";"       0";"       0";"       0";"      61";"     8.1";"    26.4";"     5.0";"     0.0";"    63.4"
"Men";"30 to 39 years";"1960";"      50";"      23";"      26";"       0";"       1";"      15";"       8";"";"       8";"       2";"      11";"       6";"       0";"       0";"       0";"       0";"      50";"     6.6";"    23.8";"     4.0";"     0.0";"    16.7"
"Men";"30 to 39 years";"1961";"      50";"      17";"      33";"       0";"       0";"      25";"       4";"";"       3";"       3";"      13";"       2";"       0";"       0";"       0";"       0";"      50";"     6.6";"    17.2";"     5.1";"     0.0";"     0.0"
"Men";"30 to 39 years";"1962";"      57";"      32";"      22";"       0";"       3";"      19";"       6";"";"       4";"       1";"      23";"       4";"      23";"       1";"       2";"       3";"      28";"     7.5";"    32.2";"     3.4";"     0.0";"    52.8"
"Men";"30 to 39 years";"1963";"      41";"      19";"      22";"       0";"       0";"      13";"       3";"";"       2";"       1";"      16";"       6";"       0";"       0";"       0";"       0";"      41";"     5.4";"    19.0";"     3.4";"     0.0";"     0.0"
"Men";"30 to 39 years";"1964";"      51";"      20";"      27";"       3";"       1";"      21";"       8";"";"       3";"       1";"      12";"       6";"       0";"       0";"       0";"       0";"      51";"     6.7";"    19.9";"     4.1";"   253.5";"    16.9"
"Men";"30 to 39 years";"1965";"      50";"      25";"      24";"       0";"       1";"      22";"       7";"";"       3";"       1";"      13";"       4";"      24";"       4";"       3";"       1";"      18";"     6.5";"    24.9";"     3.6";"     0.0";"    16.1"
"Men";"30 to 39 years";"1966";"      63";"      22";"      38";"       0";"       3";"      26";"      11";"";"       7";"       3";"       8";"       8";"       0";"       0";"       0";"       0";"      63";"     8.0";"    21.8";"     5.6";"     0.0";"    45.0"
"Men";"30 to 39 years";"1967";"      68";"      23";"      42";"       0";"       3";"      24";"      14";"";"       9";"       2";"      15";"       4";"      26";"       5";"       0";"       6";"      31";"     8.6";"    22.9";"     6.2";"     0.0";"    41.2"
"Men";"30 to 39 years";"1968";"      45";"      20";"      20";"       1";"       4";"      16";"       9";"";"       5";"       1";"      11";"       3";"       0";"       0";"       0";"       0";"      45";"     5.7";"    20.1";"     2.9";"    81.1";"    50.1"
"Men";"30 to 39 years";"1969";"      64";"      29";"      29";"       2";"       4";"      23";"      20";"";"       5";"       2";"      14";"       0";"      29";"       3";"       3";"       8";"      21";"     7.9";"    29.0";"     4.2";"   164.0";"    45.2"
"Men";"30 to 39 years";"1970";"      64";"      28";"      30";"       1";"       5";"      22";"      19";"";"       8";"       2";"      13";"       0";"      29";"       5";"       3";"       4";"      23";"     7.8";"    27.7";"     4.2";"    80.4";"    51.5"
"Men";"30 to 39 years";"1971";"      57";"      24";"      31";"       0";"       2";"      18";"      16";"";"       6";"       1";"      16";"       0";"      28";"       3";"       4";"       2";"      20";"     6.8";"    23.5";"     4.3";"     0.0";"    18.6"
"Men";"30 to 39 years";"1972";"      81";"      36";"      36";"       2";"       7";"      21";"      33";"";"       6";"       2";"      19";"       0";"      38";"       4";"       3";"       8";"      28";"     9.6";"    35.2";"     4.9";"   155.0";"    57.3"
"Men";"30 to 39 years";"1973";"      90";"      31";"      53";"       0";"       6";"      32";"      16";"";"      10";"       5";"      27";"       0";"      49";"       4";"       4";"       6";"      27";"    10.4";"    29.9";"     7.1";"     0.0";"    41.2"
"Men";"30 to 39 years";"1974";"      90";"      24";"      56";"       0";"      10";"      27";"      26";"";"       7";"       6";"      24";"       0";"      47";"       2";"       7";"       4";"      30";"    10.2";"    22.6";"     7.4";"     0.0";"    57.5"
"Men";"30 to 39 years";"1975";"      96";"      34";"      50";"       1";"      11";"      24";"      25";"";"      15";"       8";"      24";"       0";"      49";"       5";"       6";"       4";"      32";"    10.6";"    31.6";"     6.4";"    68.8";"    53.8"
"Men";"30 to 39 years";"1976";"     137";"      52";"      66";"       2";"      17";"      42";"      34";"";"      15";"      12";"      34";"       0";"      62";"       4";"       6";"       5";"      60";"    14.5";"    46.1";"     8.2";"   128.3";"    69.5"
"Men";"30 to 39 years";"1977";"     111";"      48";"      46";"       1";"      16";"      37";"      27";"";"      12";"       7";"      28";"       0";"      54";"       6";"       3";"       2";"      46";"    11.1";"    39.0";"     5.5";"    59.7";"    55.0"
"Men";"30 to 39 years";"1978";"     118";"      45";"      50";"       1";"      22";"      46";"      19";"";"       6";"      12";"      35";"       0";"      58";"       4";"       6";"       8";"      42";"    11.4";"    33.6";"     5.8";"    56.8";"    65.4"
"Men";"30 to 39 years";"1979";"     127";"      36";"      63";"       4";"      24";"      47";"      23";"      16";"       7";"       8";"      26";"       0";"      54";"       4";"       8";"      13";"      48";"    11.8";"    24.9";"     7.1";"   216.7";"    62.5"
"Men";"30 to 39 years";"1980";"     157";"      65";"      70";"       1";"      21";"      57";"      22";"      26";"      17";"      11";"      24";"       0";"      85";"       3";"       6";"       8";"      55";"    14.2";"    41.7";"     7.8";"    51.7";"    48.0"
"Men";"30 to 39 years";"1981";"     162";"      66";"      74";"       1";"      21";"      47";"      32";"      22";"      12";"      19";"      30";"       0";"      74";"       6";"      10";"      13";"      59";"    14.4";"    39.5";"     8.1";"    50.1";"    42.0"
"Men";"30 to 39 years";"1982";"     152";"      57";"      71";"       3";"      21";"      58";"      21";"      19";"      13";"      14";"      27";"       0";"      75";"       8";"      10";"       6";"      53";"    13.2";"    32.8";"     7.7";"   155.2";"    37.9"
"Men";"30 to 39 years";"1983";"     202";"      87";"      84";"       0";"      31";"      69";"      28";"      37";"      18";"      17";"      33";"       0";"      94";"       5";"      31";"      24";"      48";"    17.2";"    47.8";"     9.1";"     0.0";"    50.8"
"Men";"30 to 39 years";"1984";"     213";"     103";"      66";"       4";"      40";"      64";"      35";"      30";"      14";"      20";"      50";"       0";"      91";"       4";"      30";"      15";"      73";"    17.9";"    52.1";"     7.2";"   206.0";"    59.1"
"Men";"30 to 39 years";"1985";"     204";"      82";"      74";"       1";"      47";"      90";"      24";"      25";"       8";"      13";"      44";"       0";"      52";"       1";"      29";"      21";"     101";"    16.9";"    38.1";"     8.1";"    48.2";"    63.9"
"Men";"30 to 39 years";"1986";"     192";"      87";"      61";"       0";"      44";"      76";"      26";"      30";"      10";"      18";"      32";"       0";"      63";"       2";"      33";"       7";"      87";"    15.9";"    37.5";"     6.8";"     0.0";"    58.0"
"Men";"30 to 39 years";"1987";"     189";"      94";"      66";"       0";"      29";"      82";"      23";"      26";"       9";"      12";"      37";"       0";"      64";"       8";"      19";"       9";"      89";"    15.8";"    37.9";"     7.6";"     0.0";"    38.8"
"Men";"30 to 39 years";"1988";"     197";"      89";"      67";"       3";"      38";"      72";"      28";"      24";"      13";"      16";"      44";"       0";"      62";"       4";"      37";"       8";"      86";"    16.5";"    33.3";"     7.9";"   160.9";"    51.8"
"Men";"30 to 39 years";"1989";"     176";"      94";"      54";"       0";"      28";"      72";"      24";"      17";"      10";"      23";"      30";"       0";"      79";"       1";"      25";"      17";"      54";"    14.7";"    32.9";"     6.4";"     0.0";"    39.2"
"Men";"30 to 39 years";"1990";"     200";"     115";"      54";"       2";"      29";"      91";"      18";"      24";"       9";"      25";"      33";"       0";"      78";"       9";"      37";"      20";"      56";"    16.5";"    37.8";"     6.5";"   113.6";"    41.9"
"Men";"30 to 39 years";"1991";"     224";"     131";"      65";"       1";"      27";"      85";"      26";"      30";"      11";"      21";"      51";"       0";"     107";"       4";"      37";"      19";"      57";"    18.2";"    40.3";"     7.8";"    55.9";"    39.8"
"Men";"30 to 39 years";"1992";"     234";"     128";"      76";"       3";"      27";"      88";"      31";"      38";"       9";"      23";"      45";"       0";"     112";"       1";"      32";"      22";"      67";"    18.8";"    37.0";"     9.1";"   165.2";"    40.2"
"Men";"30 to 39 years";"1993";"     209";"     122";"      57";"       0";"      30";"      78";"      24";"      39";"       9";"      22";"      37";"       0";"     102";"       1";"      32";"      21";"      53";"    16.5";"    33.2";"     6.9";"     0.0";"    44.6"
"Men";"30 to 39 years";"1994";"     243";"     151";"      66";"       0";"      26";"     101";"      35";"      35";"      14";"      15";"      43";"       0";"     107";"       6";"      44";"      19";"      67";"    18.9";"    38.7";"     8.0";"     0.0";"    38.0"
"Men";"30 to 39 years";"1995";"     225";"     136";"      58";"       1";"      30";"     104";"      33";"      25";"       9";"      22";"      31";"       1";"      80";"       4";"      37";"      44";"      60";"    17.3";"    32.9";"     7.1";"    55.9";"    42.8"
"Men";"30 to 39 years";"1996";"     233";"     138";"      58";"       0";"      37";"     106";"      43";"      23";"       5";"      24";"      31";"       1";"      90";"      11";"      38";"      31";"      63";"    17.8";"    31.7";"     7.2";"     0.0";"    51.7"
"Men";"30 to 39 years";"1997";"     235";"     131";"      63";"       1";"      40";"     111";"      37";"      17";"      10";"      19";"      40";"       1";"     102";"       6";"      32";"      27";"      68";"    17.8";"    28.7";"     8.0";"    55.3";"    55.4"
"Men";"30 to 39 years";"1998";"     235";"     146";"      50";"       0";"      39";"     122";"      23";"      33";"       7";"      10";"      38";"       2";"      84";"       8";"      41";"      25";"      77";"    17.7";"    30.6";"     6.4";"     0.0";"    54.0"
"Men";"30 to 39 years";"1999";"     219";"     139";"      53";"       0";"      27";"     102";"      37";"      22";"       4";"      22";"      32";"       0";"     100";"      10";"      38";"      26";"      45";"    16.4";"    27.9";"     6.9";"     0.0";"    37.6"
"Men";"30 to 39 years";"2000";"     193";"     129";"      48";"       0";"      16";"      87";"      21";"      28";"      11";"      17";"      26";"       3";"      75";"       1";"      33";"      24";"      60";"    14.3";"    24.7";"     6.4";"     0.0";"    22.5"
"Men";"30 to 39 years";"2001";"     236";"     154";"      56";"       1";"      25";"     109";"      27";"      27";"      10";"      25";"      37";"       1";"     105";"       2";"      32";"      27";"      70";"    17.5";"    28.3";"     7.7";"    62.0";"    35.1"
"Men";"30 to 39 years";"2002";"     235";"     157";"      49";"       0";"      29";"     117";"      21";"      25";"       8";"      28";"      36";"       0";"     104";"       9";"      37";"      34";"      51";"    17.5";"    28.0";"     6.9";"     0.0";"    41.5"
"Men";"30 to 39 years";"2003";"     201";"     123";"      50";"       0";"      28";"     107";"      21";"      25";"       4";"      21";"      21";"       2";"      89";"       5";"      28";"      22";"      57";"    15.3";"    21.6";"     7.4";"     0.0";"    42.1"
"Men";"30 to 39 years";"2004";"     209";"     142";"      39";"       2";"      26";"      96";"      24";"      22";"      13";"      18";"      34";"       2";"      92";"       3";"      33";"      19";"      62";"    16.3";"    24.8";"     6.0";"   139.0";"    41.7"
"Men";"30 to 39 years";"2005";"     188";"     129";"      37";"       2";"      20";"      87";"      27";"      25";"      11";"      15";"      23";"       0";"      80";"       2";"      38";"      20";"      48";"    15.1";"    22.5";"     6.0";"   153.4";"    34.4"
"Men";"30 to 39 years";"2006";"     178";"     126";"      37";"       2";"      13";"      99";"      17";"      23";"       7";"      12";"      19";"       1";"      76";"       3";"      40";"      16";"      43";"    14.7";"    22.0";"     6.4";"   166.6";"    23.9"
"Men";"30 to 39 years";"2007";"     155";"     107";"      31";"       0";"      17";"      67";"      24";"      24";"       2";"      15";"      22";"       1";"      67";"       3";"      32";"      14";"      39";"    13.2";"    18.7";"     5.7";"     0.0";"    33.3"
"Men";"30 to 39 years";"2008";"     168";"     128";"      26";"       0";"      14";"      79";"      24";"      27";"       8";"      10";"      20";"       0";"      77";"       3";"      36";"      21";"      31";"    14.7";"    22.4";"     5.0";"     0.0";"    29.2"
"Men";"30 to 39 years";"2009";"     144";"     106";"      25";"       0";"      13";"      74";"      18";"      20";"       3";"      12";"      17";"       0";"      68";"       4";"      21";"      17";"      34";"    13.0";"    18.7";"     5.1";"     0.0";"    27.1"
"Men";"30 to 39 years";"2010";"     130";"      94";"      24";"       0";"      12";"      60";"      16";"      14";"       5";"      11";"      23";"       1";"      46";"       3";"      23";"      10";"      48";"    12.1";"    16.8";"     5.1";"     0.0";"    25.2"
"Men";"30 to 39 years";"2011";"     154";"     117";"      21";"       0";"      16";"      75";"      19";"      25";"       5";"      13";"      17";"       0";"      70";"       3";"      18";"      15";"      48";"    14.6";"    20.9";"     4.7";"     0.0";"    36.4"
"Men";"30 to 39 years";"2012";"     157";"     118";"      26";"       0";"      13";"      79";"      20";"      14";"       7";"      18";"      16";"       3";"      77";"       1";"      13";"      10";"      56";"    15.2";"    21.2";"     6.0";"     0.0";"    31.4"
"Men";"30 to 39 years";"2013";"     164";"     121";"      30";"       0";"      13";"      93";"      23";"      14";"       5";"      15";"      12";"       2";"      77";"       2";"      19";"      12";"      54";"    16.2";"    21.7";"     7.2";"     0.0";"    32.7"
"Men";"30 to 39 years";"2014";"     161";"     122";"      24";"       0";"      15";"      86";"      10";"      28";"       8";"      12";"      17";"       0";"      72";"       4";"      19";"      14";"      52";"    16.0";"    21.6";"     5.9";"     0.0";"    38.3"
"Men";"30 to 39 years";"2015";"     157";"     120";"      25";"       0";"      12";"      74";"      21";"      22";"       9";"      12";"      19";"       0";"      72";"       3";"      22";"      18";"      42";"    15.5";"    20.9";"     6.3";"     0.0";"    30.7"
"Men";"30 to 39 years";"2016";"     167";"     132";"      23";"       0";"      12";"      80";"      21";"      24";"       6";"      15";"      21";"       0";"      91";"       4";"      16";"      13";"      43";"    16.3";"    22.6";"     5.8";"     0.0";"    30.8"
"Men";"30 to 39 years";"2017";"     142";"     102";"      29";"       0";"      11";"      77";"      12";"      17";"       5";"       6";"      24";"       1";"      87";"       6";"      20";"       6";"      23";"    13.7";"    17.1";"     7.2";"     0.0";"    28.2"
"Men";"30 to 39 years";"2018";"     169";"     134";"      26";"       0";"       9";"      95";"      12";"      15";"       5";"      19";"      22";"       1";"     103";"       3";"      18";"      11";"      34";"    16.1";"    22.1";"     6.4";"     0.0";"    23.1"
"Men";"30 to 39 years";"2019*";"     155";"     112";"      29";"       0";"      14";"      89";"      14";"      18";"       5";"      11";"      18";"       0";"      80";"       3";"      31";"      17";"      24";"    14.5";"    18.0";"     7.1";"     0.0";"    36.0"
"Men";"40 to 49 years";"1950";"      58";"      12";"      39";"       1";"       6";"      26";"       4";"";"       6";"       1";"      20";"       1";"      22";"       3";"       3";"       8";"      22";"     9.6";"    20.7";"     7.3";"    18.0";"    73.0"
"Men";"40 to 49 years";"1951";"      80";"      14";"      58";"       6";"       2";"      35";"       0";"";"      13";"       1";"      29";"       2";"       0";"       0";"       0";"       0";"      80";"    13.0";"    24.4";"    10.7";"   115.0";"    23.6"
"Men";"40 to 49 years";"1952";"      66";"      19";"      42";"       1";"       4";"      33";"       4";"";"       4";"       2";"      18";"       5";"       0";"       0";"       0";"       0";"      66";"    10.6";"    33.5";"     7.6";"    20.3";"    45.7"
"Men";"40 to 49 years";"1953";"      50";"      13";"      32";"       2";"       3";"      24";"       2";"";"      10";"       0";"       9";"       5";"       0";"       0";"       0";"       0";"      50";"     8.0";"    23.1";"     5.8";"    42.0";"    33.4"
