year,month,investor,quantity,share,partner,sector,subsector,country,region
2013,October,China Railway Engineering,500,,NHC,Real estate,Construction,Tanzania,Sub-Saharan Africa
2013,October,Alibaba,110,18%,Shoprunner,Other,Consumer,USA,USA
2013,October,Fosun,730,,JPMorgan,Real estate,Property,USA,USA
2013,October,Meijing,100,100%,Mooney Aviation,Transport,Aviation,USA,USA
2013,November,China Communications Construction,170,,,Other,Utilities,Iraq,Arab World
2013,November,Sinomach,240,,Kar Group,Real estate,Construction,Iraq,Arab World
2013,November,Sinomach,270,,,Real estate,Construction,Jordan,Arab World
2013,November,China Communications Construction,510,,,Transport,Shipping,Yemen,Arab World
2013,November,CNPC,1250,25%,ExxonMobil,Energy,Oil,Iraq,Arab World
2013,November,Shanghai Greenland,980,,,Real estate,Property,South Korea,East Asia
2013,November,CSR,400,,ZF Friedrichshafen,Transport,Autos,Germany,Europe
2013,November,Power Construction Corp,400,51%,,Transport,Autos,Macedonia,Europe
2013,November,Ming Yan,540,,Speranta & Succesul,Energy,Alternative,Romania,Europe
2013,November,Sinomach,720,,,Energy,Coal,Serbia,Europe
2013,November,CNPC,2600,,Petrobras,Energy,,Peru,South America
2013,November,Sinomach,130,,,Energy,Electric,Equatorial Guinea,Sub-Saharan Africa
2013,November,Sinomach,290,,,Real estate,Construction,Kenya,Sub-Saharan Africa
2013,November,China Communications Construction,300,,,Transport,Shipping,Namibia,Sub-Saharan Africa
2013,November,China Railway Construction,1070,,,Transport,Autos,Nigeria,Sub-Saharan Africa
2013,November,Shanghai Zendai,100,,AECI,Real estate,Property,South Africa,Sub-Saharan Africa
2013,November,China Communications Construction,540,,,Real estate,Construction,Sri Lanka,West Asia
2013,November,Sinomach and Hunan Construction Engineering,430,,,Transport,Autos,Sri Lanka,West Asia
2013,November,China Communications Construction,400,,,Transport,Autos,Sri Lanka,West Asia
2013,December,China Railway Construction,1180,,,Transport,Autos,Algeria,Arab World
2013,December,China Communications Construction,160,,,Other,Utilities,Iraq,Arab World
2013,December,Guangzhou R&F,1370,,,Real estate,Property,Malaysia,East Asia
2013,December,CITIC,200,,Siam Cement,Real estate,Construction,Myanmar,East Asia
2013,December,AVIC,260,59%,KHD,Real estate,Construction,Germany,Europe
2013,December,Henan Civil Aviation,220,35%,Cargolux Airlines,Transport,Aviation,Luxembourg,Europe
2013,December,Sinomach,190,,Boska,Energy,Alternative,Poland,Europe
2013,December,Three Gorges,130,50%,Cachoeira-caldeirao,Energy,Hydro,Brazil,South America
2013,December,Three Gorges,250,50%,Jari,Energy,Hydro,Brazil,South America
2013,December,China Railway Construction,3300,,,Transport,Rail,Ethiopia,Sub-Saharan Africa
2013,December,Anhui Foreign Economic Construction,500,,,Metals,,Mozambique,Sub-Saharan Africa
2013,December,Sinoma,540,,,Real estate,Construction,Nigeria,Sub-Saharan Africa
2013,December,Hazens,100,,,Real estate,Property,USA,USA
2013,December,Keer Group,220,,,Other,Textiles,USA,USA
2013,December,Oceanwide Real Estate,190,,,Real estate,Property,USA,USA
2013,December,China National Nuclear,6500,,,Energy,,Pakistan,West Asia
2014,January,State Construction Engineering,240,,Skai,Real estate,Construction,UAE,Arab World
