id,source,target,SUID,source_url,interaction,confidence,shared_interaction,name,shared_name,contract_share,log_message,ownership_type,start_date,source_date,ownership_status
5261,1895,1892,5261,http://www.subseaiq.com/data/Project.aspx?project_id=662,-,Low,-,n23275 (-) n23272,n23275 (-) n23272,24,,,,,
5595,1894,1893,5595,http://www.offshore-technology.com/projects/bonga/,-,Low,-,n23274 (-) n23273,n23274 (-) n23273,,,,,,
5260,1894,1451,5260,http://www.offshore-technology.com/projects/bonga/,-,Low,-,n23274 (-) n22831,n23274 (-) n22831,12.5,,,,,
5259,1894,1356,5259,http://www.offshore-technology.com/projects/bonga/,-,Low,-,n23274 (-) n22736,n23274 (-) n22736,12.5,,,,,
5258,1894,1555,5258,http://www.offshore-technology.com/projects/bonga/,-,Low,-,n23274 (-) n22935,n23274 (-) n22935,12.5,,,,,
5257,1894,1343,5257,http://www.offshore-technology.com/projects/bonga/,-,Low,-,n23274 (-) n22723,n23274 (-) n22723,12.5,,,,,
5256,1894,1419,5256,http://www.offshore-technology.com/projects/bonga/,-,Low,-,n23274 (-) n22799,n23274 (-) n22799,20,,,,,
5255,1894,1340,5255,http://www.offshore-technology.com/projects/bonga/,-,Low,-,n23274 (-) n22720,n23274 (-) n22720,20,,,,,
5254,1894,1892,5254,http://www.offshore-technology.com/projects/bonga/,-,Low,-,n23274 (-) n23272,n23274 (-) n23272,55,,,,,
5594,1891,1642,5594,Itemid=6,-,Low,-,n23271 (-) n23022,n23271 (-) n23022,,,,,,
5253,1891,1549,5253,Itemid=6,-,Low,-,n23271 (-) n22929,n23271 (-) n22929,,,,,,
5593,1890,1642,5593,Itemid=6,-,Low,-,n23270 (-) n23022,n23270 (-) n23022,,,,,,
5252,1890,1549,5252,Itemid=6,-,Low,-,n23270 (-) n22929,n23270 (-) n22929,,,,,,
5592,1889,1642,5592,Itemid=6,-,Low,-,n23269 (-) n23022,n23269 (-) n23022,,,,,,
5251,1889,1549,5251,Itemid=6,-,Low,-,n23269 (-) n22929,n23269 (-) n22929,,,,,,
5591,1888,1642,5591,Itemid=6,-,Low,-,n23268 (-) n23022,n23268 (-) n23022,,,,,,
5250,1888,1549,5250,Itemid=6,-,Low,-,n23268 (-) n22929,n23268 (-) n22929,,,,,,
5590,1887,1642,5590,Itemid=6,-,Low,-,n23267 (-) n23022,n23267 (-) n23022,,,,,,
5249,1887,1549,5249,Itemid=6,-,Low,-,n23267 (-) n22929,n23267 (-) n22929,,,,,,
5589,1886,1642,5589,http://www.bintandprathel.com/news/33-some-of-our-on-going-projects-includes-.html,-,Low,-,n23266 (-) n23022,n23266 (-) n23022,,,,,,
5248,1886,1546,5248,http://www.bintandprathel.com/news/33-some-of-our-on-going-projects-includes-.html,-,Low,-,n23266 (-) n22926,n23266 (-) n22926,,,,,,
5588,1885,1642,5588,http://www.bintandprathel.com/news/33-some-of-our-on-going-projects-includes-.html,-,Low,-,n23265 (-) n23022,n23265 (-) n23022,,,,,,
