id,unit,name,start,end,agency,acres,cause
BTU-12700,Butte,HWY 70,10-24-2001,10-26-2001,CDF,1711,Arson
TCU-8044,Calaveras,Moore,10-27-2001,10-31-2001,CDF,580,Undetermined
MMU-18913,Merced,Crane,11-02-2001,11-02-2001,LOCAL,330,Undetermined
MVU-8827,San Diego,Bell,12-08-2001,12-11-2001,CDF,1204,Undetermined
RRU-10403,Riverside,Green (State),02-09-2002,02-13-2002,CDF,2400,Elec. Power
MVU-1024,San Diego,Gavilan Fire,02-10-2002,02-15-2002,CDF,5763,VMP Burn
BDU-1909,Inyo,Tecopa,03-05-2002,03-05-2002,BLM,300,n/a
MMU-4085,Madera,Nicholas,03-16-2002,03-16-2002,LOCAL,12000,Debris Burning
RRU-20299,Riverside,Cajalco,03-17-2002,03-17-2002,CDF,575,Undetermined
MVU-2043,San Diego,Aliso,03-21-2002,03-22-2002,MIL,2400,Under Invest.
BDU-2403,Inyo,Airport,03-22-2002,03-24-2002,CDF,846,Undetermined
MVU-2592,San Diego,Bell (Outside Origin),04-13-2002,04-14-2002,CDF,350,Undetermined
RRU-29527,Orange/RRU,Evening Fire,04-21-2002,04-23-2002,CC,657,PWF
HUU-26808,Del Norte,Kellogg,04-28-2002,04-28-2002,CDF,300,Vehicle
MMU-7167,Merced,Myers,05-07-2002,05-07-2002,CDF,320,Undetermined
MMU-7167,Merced,Myers,05-07-2002,05-07-2002,CDF,320,Undetermined
FKU-5607,Fresno,Tivy,05-09-2002,05-10-2002,CDF,680,Elec. Power
FKU-5607,Fresno,Tivy,05-09-2002,05-10-2002,CDF,680,Elec. Power
ANF-1534,Angeles NF,Bouquet,05-11-2002,05-13-2002,USFS,4977,Undetermined
ANF-1534,Angeles NF,Bouquet,05-11-2002,05-13-2002,USFS,4977,Undetermined
CNF-795,Cleveland NF,Mateo,05-13-2002,05-13-2002,USFS,1500,Undetermined
CNF-795,Cleveland NF,Mateo,05-13-2002,05-13-2002,USFS,1500,Undetermined
RRU-35797,Riverside/Orange Co.,State 925 (Antonio),05-13-2002,05-15-2002,CDF,1472,Undetermined
RRU-35797,Riverside/Orange Co.,State 925 (Antonio),05-13-2002,05-15-2002,CDF,1472,Undetermined
MMU-8182,Merced,Ahlem,05-23-2002,05-23-2002,LOCAL,6000,Undetermined
MMU-8182,Merced,Ahlem,05-23-2002,05-23-2002,LOCAL,6000,Undetermined
BDU-4432,Los Angeles,Shannon,05-23-2002,05-23-2002,CC,356,Undetermined
BDU-4432,Los Angeles,Shannon,05-23-2002,05-23-2002,CC,356,Undetermined
BDU-4700,San Bernardino NF,Arrowhead,05-31-2002,06-05-2002,USFS,2688,Under Invest.
BDU-4700,San Bernardino NF,Arrowhead,05-31-2002,06-05-2002,USFS,2688,Under Invest.
LPF-869,Ventura (Las Padres,Wolf,06-01-2002,06-14-2002,USFS,21645,Under Invest.
LPF-869,Ventura (Las Padres,Wolf,06-01-2002,06-14-2002,USFS,21645,Under Invest.
SQF- 1009,Sequoia NF,Rocky(will do),06-02-2002,06-04-2002,USFS,498,Under Invest.
SQF- 1009,Sequoia NF,Rocky(will do),06-02-2002,06-04-2002,USFS,498,Under Invest.
RRU-40281,BDF Riverside,Bee,06-02-2002,06-02-2002,USFS,432,Under Invest.
RRU-40281,BDF Riverside,Bee,06-02-2002,06-02-2002,USFS,432,Under Invest.
BDU-4974,Los Angeles,Copper,06-05-2002,06-12-2002,USFS,23407,Under Invest.
BDU-4974,Los Angeles,Copper,06-05-2002,06-12-2002,USFS,23407,Under Invest.
BTU-6327,Butte,Skyway,06-08-2002,06-09-2002,CDF,2000,Under Invest.
BTU-6327,Butte,Skyway,06-08-2002,06-09-2002,CDF,2000,Under Invest.
AEU-8140,Amador,Twin,06-08-2002,06-08-2002,CDF,300,Undetermined
AEU-8140,Amador,Twin,06-08-2002,06-08-2002,CDF,300,Undetermined
SLU-2909,San Luis Obispo,Davis,06-09-2002,06-09-2002,CDF,2118,Rekindle
SLU-2909,San Luis Obispo,Davis,06-09-2002,06-09-2002,CDF,2118,Rekindle
NEU-8324,Yuba,Field,06-09-2002,06-11-2002,CDF,945,Under Invest.
AEU-8240,Amador,Pony,06-09-2002,06-09-2002,CDF,720,Elec. Power
FKU-7156,Fresno,Area,06-09-2002,06-10-2002,CDF,400,Elec. Power
FKU-7156,Fresno,Area,06-09-2002,06-10-2002,CDF,400,Elec. Power
