TerminalID,ProjectID,ComboID,Facility,Country,Region,Wiki,Name,Other Names,Owner,Status,StartYear1,StartYear2,StartYear3,StopYear,Capacity,Capacity Unit,mtpa,Location,Prefecture/District,State/Province,Latitude,Longitude,Accuracy,Floating,Pre-FID,FID Year
T0224,1,T02241,Export,USA,North America,https://www.gem.wiki/Freeport_LNG_Terminal,Freeport LNG Terminal T1,,"Zachary Hastings, Osaka Gas, Dow Chemical Company, Global Infrastructure Partners, Freeport LNG",Operating,2019,,,,5.10,mtpa,5.10,Freeport,,Texas,28.932003,-95.317355,exact,no,FID,
T0224,2,T02242,Export,USA,North America,https://www.gem.wiki/Freeport_LNG_Terminal,Freeport LNG Terminal T2,,"Zachary Hastings, Osaka Gas, Dow Chemical Company, Global Infrastructure Partners, Freeport LNG",Operating,2019,,,,5.10,mtpa,5.10,Freeport,,Texas,28.932003,-95.317355,exact,no,FID,
T0224,3,T02243,Export,USA,North America,https://www.gem.wiki/Freeport_LNG_Terminal,Freeport LNG Terminal T3,,"Zachary Hastings, Osaka Gas, Dow Chemical Company, Global Infrastructure Partners, Freeport LNG",Operating,2020,,,,5.10,mtpa,5.10,Freeport,,Texas,28.932003,-95.317355,exact,no,FID,
T0224,4,T02244,Export,USA,North America,https://www.gem.wiki/Freeport_LNG_Terminal,Freeport LNG Terminal T4,,"Zachary Hastings, Osaka Gas, Dow Chemical Company, Global Infrastructure Partners, Freeport LNG",Proposed,2026,,,,5.10,mtpa,5.10,Freeport,,Texas,28.932003,-95.317355,exact,no,Pre-FID,2021
T0226,1,T02261,Export,USA,North America,https://www.gem.wiki/G2_LNG_Terminal,G2 LNG Terminal T1,,"G2 LNG LLC, 100.00%",Proposed,2027,,,,7.00,mtpa,7.00,Cameron Parish,,Louisiana,29.85,-93.2,approximate,no,Pre-FID,
T0226,2,T02262,Export,USA,North America,https://www.gem.wiki/G2_LNG_Terminal,G2 LNG Terminal T2,,"G2 LNG LLC, 100.00%",Proposed,2027,,,,7.00,mtpa,7.00,Cameron Parish,,Louisiana,29.85,-93.2,approximate,no,Pre-FID,
T0227,0,T02270,Import,USA,North America,https://www.gem.wiki/Golden_Pass_LNG,Golden Pass LNG Import Terminal,,"Qatar Petroleum, 70.00%, ExxonMobil, 30.00%",Mothballed,2011,,,,15.70,mtpa,15.70,Sabine Pass,,Texas,29.761394,-93.919418,exact,no,,
T0227,1,T02271,Export,USA,North America,https://www.gem.wiki/Golden_Pass_LNG,Golden Pass LNG Terminal T1,,"Qatar Petroleum, 70.00%, ExxonMobil, 30.00%",Construction,2024,,,,5.20,mtpa,5.20,Sabine Pass,,Texas,29.761394,-93.919418,exact,no,,
T0227,2,T02272,Export,USA,North America,https://www.gem.wiki/Golden_Pass_LNG,Golden Pass LNG Terminal T2,,"Qatar Petroleum, 70.00%, ExxonMobil, 30.00%",Construction,2025,,,,5.20,mtpa,5.20,Sabine Pass,,Texas,29.761394,-93.919418,exact,no,,
T0227,3,T02273,Export,USA,North America,https://www.gem.wiki/Golden_Pass_LNG,Golden Pass LNG Terminal T3,,"Qatar Petroleum, 70.00%, ExxonMobil, 30.00%",Construction,2025,,,,5.20,mtpa,5.20,Sabine Pass,,Texas,29.761394,-93.919418,exact,no,,
