"character","char_popular","costume","rank","issue","char_costume","parameter","value"
"Gambit = Name Unknown","Gambit","costumed",4,140,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,140,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,140,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,141,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,141,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,141,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,141,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,142,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,142,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,142,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,142,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,143,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,143,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,143,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,143,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,144,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,144,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,144,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,144,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,145,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,145,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,145,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,145,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,146,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,146,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,146,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,146,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,147,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,147,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,147,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,147,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,148,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,148,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,148,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,148,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,149,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,149,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,149,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,149,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,150,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,150,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,150,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,150,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,151,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,151,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,151,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,151,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,152,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,152,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,152,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,152,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,153,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,153,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,153,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,153,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,154,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,154,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,154,"Gambit (costumed)   ","narrative",0
