"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"St. Pierre and Miquelon","Export","Crustaceans","77","F","403","F","25","F","44","F","855","F","752","F","867","F","1079","F","748","F","665","F","834","F","860","F","1207","F","968","F","383","F","208","F"
"St. Pierre and Miquelon","Export","Fish","6844","F","4382","F","4045","F","3306","F","4484","F","5199","F","5795","F","7447","F","8617","F","4394","F","2981","F","1592","F","1593","F","1018","F","962","F","705","F"
"St. Pierre and Miquelon","Import","Crustaceans","25","F","27","F","20","F","30","F","39","F","21","F","14","F","132","F","23","F","46","F","53","F","60","F","78","F","68","F","50","F","79","F"
"St. Pierre and Miquelon","Import","Fish","130","F","112","F","90","F","80","F","57","F","24","F","122","F","89","F","67","F","48","","96","F","154","F","182","F","162","F","142","F","200","F"
"Suriname","Export","Crustaceans","36028","","34546","","26232","F","32360","F","35129","F","29454","F","27215","F","28528","F","18743","F","25593","F","20281","F","17911","F","20538","F","21609","F","18532","F","17348","F"
"Suriname","Export","Fish","4829","","5153","","11310","F","13608","F","16846","F","16271","F","19044","F","21330","F","34540","F","37617","F","42245","F","46860","F","58638","F","65050","F","70441","F","72637","F"
"Suriname","Import","Crustaceans","3501","","378","F","409","","446","","22","","30","","6","","26","","2","","10","","14","","7","","184","","464","","270","","346","F"
"Suriname","Import","Fish","2684","","2469","F","2309","","3052","","3252","","4003","","2996","","3822","","3173","","4081","","4705","","2932","","4056","","4756","","4105","","5155","F"
"Trinidad and Tobago","Export","Crustaceans","1281","","1520","","979","","1091","","809","","730","","449","","333","","260","","568","","266","","428","F","247","F","204","F","249","F","60","F"
"Trinidad and Tobago","Export","Fish","9327","","8945","","10430","","8867","","6068","","8205","","9938","","8914","","11835","","11501","","10153","","11221","F","10597","F","12433","F","12789","F","20689","F"
"Trinidad and Tobago","Import","Crustaceans","142","","178","","233","","230","","442","","973","","1625","","2459","","3778","","3337","","3941","","5811","F","8061","F","9639","F","10983","F","8794","F"
"Trinidad and Tobago","Import","Fish","6383","","8198","","11357","","11679","","13173","","20783","","17658","","22968","","22373","","24899","","23528","","28908","F","30307","F","38805","F","37426","F","39650","F"
"Turks and Caicos Is.","Export","Crustaceans","1425","F","1983","F","1759","F","1575","F","2756","F","2852","","3002","","2899","","1149","","1055","","954","F","1028","","1059","","964","F","1549","F","1724","F"
"Turks and Caicos Is.","Export","Fish","0","-","2","F","1","","24","F","0","-","41","","19","","4","","6","","0","0","0","0","0","-","0","-","177","F","292","F","0","-"
"Turks and Caicos Is.","Import","Crustaceans","882","F","1006","F","954","F","1108","F","990","F","980","F","1176","F","1361","","1251","","1202","","872","F","1163","","1081","","843","F","1554","F","1740","F"
