"state","year","incidence"
"KENTUCKY","1942",4.409999999999999
"KENTUCKY","1943",5.139999999999999
"KENTUCKY","1944",23.78
"KENTUCKY","1945",3.7
"KENTUCKY","1946",3.26
"KENTUCKY","1947",4.01
"KENTUCKY","1948",6.700000000000001
"KENTUCKY","1949",24.139999999999993
"KENTUCKY","1950",23.580000000000002
"KENTUCKY","1951",10.799999999999997
"KENTUCKY","1952",45.84000000000001
"KENTUCKY","1953",12.93
"KENTUCKY","1954",29.130000000000003
"KENTUCKY","1955",14.040000000000001
"KENTUCKY","1956",6.839999999999999
"KENTUCKY","1957",3.7100000000000004
"KENTUCKY","1958",2.8900000000000006
"KENTUCKY","1959",2.4799999999999995
"KENTUCKY","1960",4.98
"KENTUCKY","1961",0.9200000000000005
"KENTUCKY","1962",0.9000000000000001
"KENTUCKY","1963",0.03
"KENTUCKY","1965",0.03
"KENTUCKY","1968",0
"LOUISIANA","1928",0.6
"LOUISIANA","1929",0.39
"LOUISIANA","1930",14.530000000000001
"LOUISIANA","1931",1.4300000000000006
"LOUISIANA","1932",1.8400000000000007
"LOUISIANA","1933",1.3500000000000003
"LOUISIANA","1934",1.2000000000000004
"LOUISIANA","1935",4.4399999999999995
"LOUISIANA","1936",1.5700000000000003
"LOUISIANA","1937",5.829999999999998
"LOUISIANA","1938",3.0099999999999993
"LOUISIANA","1939",0.9800000000000002
"LOUISIANA","1940",3.6899999999999995
"LOUISIANA","1941",2.5600000000000005
"LOUISIANA","1942",1.8300000000000003
"LOUISIANA","1943",2.1800000000000006
"LOUISIANA","1944",5.94
"LOUISIANA","1945",4.45
"LOUISIANA","1946",12.149999999999995
"LOUISIANA","1947",3.1000000000000005
"LOUISIANA","1948",5.8100000000000005
"LOUISIANA","1949",8.840000000000002
"LOUISIANA","1950",14.910000000000002
"LOUISIANA","1951",29.419999999999995
"LOUISIANA","1952",31.550000000000004
"LOUISIANA","1953",14.99
"LOUISIANA","1954",18.690000000000005
"LOUISIANA","1955",12.48
"LOUISIANA","1956",20.750000000000004
"LOUISIANA","1957",5.710000000000001
"LOUISIANA","1958",2.399999999999999
"LOUISIANA","1959",3.27
"LOUISIANA","1960",1.62
"LOUISIANA","1961",1.6800000000000002
"LOUISIANA","1962",0.9600000000000002
"LOUISIANA","1963",0.4500000000000002
"LOUISIANA","1964",0.03
"LOUISIANA","1965",0.06
"LOUISIANA","1966",0.03
"LOUISIANA","1967",0.03
"MAINE","1928",6.089999999999999
"MAINE","1929",1.6699999999999995
"MAINE","1930",19.49
"MAINE","1931",14.869999999999997
"MAINE","1932",7.4700000000000015
"MAINE","1933",8.040000000000001
"MAINE","1934",2.5200000000000005
"MAINE","1935",19.159999999999997
"MAINE","1936",4.19
"MAINE","1937",15.819999999999995
"MAINE","1938",5.049999999999999
"MAINE","1939",0.48
"MAINE","1940",0.78
"MAINE","1941",4.92
"MAINE","1942",4.01
"MAINE","1943",2.2100000000000004
"MAINE","1944",2.6500000000000004
"MAINE","1945",9.65
"MAINE","1946",6.780000000000001
"MAINE","1947",5.59
"MAINE","1948",5.070000000000002
"MAINE","1949",51.58999999999998
"MAINE","1950",10.62
"MAINE","1951",5.500000000000002
"MAINE","1952",16.299999999999997
"MAINE","1953",35.069999999999986
"MAINE","1954",14.700000000000001
"MAINE","1955",20.04
"MAINE","1956",2.27
"MAINE","1957",0.98
"MAINE","1958",0.21
"MAINE","1959",4.789999999999999
"MAINE","1960",5.219999999999999
"MAINE","1961",0.6
"MAINE","1963",0.1
"MARYLAND","1928",18.16
"MARYLAND","1929",1.3200000000000003
"MARYLAND","1930",2.5900000000000007
"MARYLAND","1931",3.180000000000001
"MARYLAND","1932",2.3400000000000003
"MARYLAND","1933",2.940000000000001
"MARYLAND","1934",1.7300000000000004
"MARYLAND","1935",6.339999999999999
"MARYLAND","1936",1.8000000000000003
"MARYLAND","1937",4.859999999999999
"MARYLAND","1938",2.04
"MARYLAND","1939",1.7400000000000002
"MARYLAND","1940",0.7100000000000001
"MARYLAND","1941",11.81
"MARYLAND","1942",1.6600000000000004
"MARYLAND","1943",0.8700000000000002
"MARYLAND","1944",19.240000000000002
"MARYLAND","1945",7.119999999999999
"MARYLAND","1946",4.719999999999999
"MARYLAND","1947",4.969999999999999
"MARYLAND","1948",5.979999999999999
"MARYLAND","1949",10.749999999999998
"MARYLAND","1950",30.270000000000003
"MARYLAND","1951",5.940000000000001
"MARYLAND","1952",7.800000000000001
