"source","target","value"
"TGO","MRT",23
"ESH","MRT",26001
"YEM","MRT",21
"AFG","MKD",5
"COG","MKD",5
"PAK","MKD",5
"SRB","MKD",276
"SYR","MKD",17
,"MCO",25
"AFG","MDA",24
"ARM","MDA",16
"AZE","MDA",5
"PSE","MDA",5
"IRN","MDA",5
"IRQ","MDA",16
"KGZ","MDA",11
"LBY","MDA",5
"RUS","MDA",5
"SDN","MDA",9
"SYR","MDA",209
"TJK","MDA",8
"TKM","MDA",5
"TUR","MDA",39
"UKR","MDA",45
"UZB","MDA",8
"YEM","MDA",8
"ALB","MEX",8
"DZA","MEX",5
"AGO","MEX",9
"EGY","MEX",5
"ARG","MEX",5
"BGD","MEX",7
"BRA","MEX",5
"BLZ","MEX",10
"KHM","MEX",24
"CHN","MEX",5
"CHL","MEX",6
"CMR","MEX",15
"COG","MEX",22
"COD","MEX",61
"COL","MEX",414
"CUB","MEX",702
"DOM","MEX",14
"ECU","MEX",14
"ERI","MEX",7
"ETH","MEX",5
"PSE","MEX",5
"GHA","MEX",19
"GTM","MEX",1501
"GIN","MEX",8
"HTI","MEX",261
"HND","MEX",11833
"CIV","MEX",5
"IND","MEX",12
"IRN","MEX",40
"IRQ","MEX",44
"JAM","MEX",6
"LKA","MEX",20
"NIC","MEX",722
"NGA","MEX",39
"PAK","MEX",10
"PAN","MEX",5
"PER","MEX",17
"PRT","MEX",5
"ROU","MEX",7
"RUS","MEX",40
"SLV","MEX",8136
"SLE","MEX",5
"SYR","MEX",30
"TUR","MEX",8
"UKR","MEX",17
"USA","MEX",24
"VEN","MEX",10771
"YEM","MEX",13
"BDI","MLI",12
"BFA","MLI",10685
"CAF","MLI",970
"CMR","MLI",5
"COG","MLI",30
"COD","MLI",271
"ERI","MLI",5
"CIV","MLI",518
"MRT","MLI",15316
"NER","MLI",16938
"PAK","MLI",10
"RWA","MLI",7
"SYR","MLI",20
"TGO","MLI",21
"TUR","MLI",8
"AFG","MYS",1496
"DZA","MYS",5
"EGY","MYS",14
"AUS","MYS",5
"BGD","MYS",37
"KHM","MYS",78
"CAF","MYS",5
"CHN","MYS",44
"CMR","MYS",5
"ERI","MYS",10
"ETH","MYS",12
"PSE","MYS",224
"GBR","MYS",6
"GIN","MYS",5
"CIV","MYS",5
"IND","MYS",5
"IDN","MYS",984
"IRN","MYS",250
"IRQ","MYS",420
"JOR","MYS",5
"LBR","MYS",19
"LBY","MYS",10
"LBN","MYS",5
"LKA","MYS",793
"MLI","MYS",5
"MAR","MYS",5
"MMR","MYS",32962
"NPL","MYS",9
"NGA","MYS",5
"PAK","MYS",3175
"PHL","MYS",22
"RUS","MYS",6
"SLE","MYS",13
"SOM","MYS",1703
"VNM","MYS",5
"SDN","MYS",159
"SSD","MYS",14
"SYR","MYS",412
"THA","MYS",26
"UGA","MYS",5
"USA","MYS",8
"YEM","MYS",210
"ZWE","MYS",5
"XXA","MYS",86215
"BDI","MWI",2619
"COD","MWI",9438
"ETH","MWI",8
"CIV","MWI",5
"RWA","MWI",2191
"SOM","MWI",52
"SSD","MWI",5
"AFG","MAR",5
"DZA","MAR",9
"CAF","MAR",705
"TCD","MAR",5
"CMR","MAR",121
"COG","MAR",18
"COD","MAR",178
"ERI","MAR",17
"PSE","MAR",197
"GIN","MAR",89
"CIV","MAR",346
"IRQ","MAR",128
"LBR","MAR",7
"LBY","MAR",42
"LBN","MAR",5
"MRT","MAR",6
"MLI","MAR",34
"NGA","MAR",16
"PAK","MAR",10
"SEN","MAR",80
"SOM","MAR",7
"SDN","MAR",19
"SSD","MAR",337
"SYR","MAR",4096
"TUR","MAR",5
"YEM","MAR",905
"AGO","MOZ",5
"BDI","MOZ",904
"COG","MOZ",15
"COD","MOZ",2957
"ETH","MOZ",8
"RWA","MOZ",693
"SOM","MOZ",154
"SDN","MOZ",5
"UGA","MOZ",5
"EGY","MLT",74
"BGD","MLT",12
"BFA","MLT",5
"BLR","MLT",9
"TCD","MLT",9
"CHN","MLT",17
"CMR","MLT",10
"COD","MLT",5
"ERI","MLT",807
"ETH","MLT",175
"GMB","MLT",28
"PSE","MLT",70
"GEO","MLT",5
"GHA","MLT",8
"CIV","MLT",13
"IRN","MLT",31
"IRQ","MLT",84
"JOR","MLT",5
"LBR","MLT",6
"LBY","MLT",2818
"LKA","MLT",7
"MKD","MLT",5
"MLI","MLT",19
"MAR","MLT",31
"NGA","MLT",124
"PAK","MLT",58
"RUS","MLT",18
"SAU","MLT",5
"SRB","MLT",7
"SEN","MLT",5
"SLE","MLT",5
"SOM","MLT",1780
"SDN","MLT",217
"SSD","MLT",22
"SYR","MLT",1791
"TGO","MLT",5
"TUN","MLT",13
"TUR","MLT",7
"UKR","MLT",142
"VEN","MLT",5
"ZWE","MLT",5
"XXA","MLT",11
,"MLT",615
"BLR","MNE",5
"BIH","MNE",12
"GHA","MNE",5
"HRV","MNE",8
"SRB","MNE",149
"YEM","MNE",7
"COD","MUS",10
"PAK","MUS",5
"ZAF","MUS",5
"BDI","NAM",283
"CAF","NAM",5
"CMR","NAM",20
"COG","NAM",5
"COD","NAM",2788
"KEN","NAM",5
"RWA","NAM",123
"SOM","NAM",5
"SDN","NAM",6
"UGA","NAM",5
"ZWE","NAM",57
"AFG","NPL",51
"BGD","NPL",5
"BTN","NPL",6370
"IRN","NPL",5
"LKA","NPL",20
"MMR","NPL",13
"PAK","NPL",169
"SOM","NPL",20
"XXA","NPL",335
"TIB","NPL",12540
"AFG","NLD",5557
"ALB","NLD",5
"DZA","NLD",15
"AGO","NLD",32
"EGY","NLD",221
"ARG","NLD",5
"ARM","NLD",286
"AZE","NLD",203
"BHR","NLD",10
"BDI","NLD",108
"BEN","NLD",5
"BGD","NLD",32
"BTN","NLD",120
"BFA","NLD",13
"BLR","NLD",38
"KHM","NLD",11
"CAF","NLD",7
"TCD","NLD",5
"CHN","NLD",934
"CMR","NLD",65
"COG","NLD",341
"COD","NLD",129
"COL","NLD",16
"CUB","NLD",26
"ECU","NLD",7
"ERI","NLD",14736
"ETH","NLD",444
"GMB","NLD",32
"PSE","NLD",159
"GEO","NLD",33
"GHA","NLD",7
"GIN","NLD",512
"HND","NLD",5
"CIV","NLD",201
"IND","NLD",6
"IRN","NLD",4800
"IRQ","NLD",7762
"JAM","NLD",187
"JOR","NLD",7
"KAZ","NLD",33
"KEN","NLD",32
"KGZ","NLD",20
"PRK","NLD",37
"KWT","NLD",5
"LAO","NLD",18
"LBR","NLD",46
"LBY","NLD",257
"LBN","NLD",59
"LKA","NLD",474
"MRT","NLD",5
"MLI","NLD",16
"MYS","NLD",7
"MNG","NLD",35
"MAR","NLD",52
"MMR","NLD",414
"NPL","NLD",170
"NER","NLD",5
"NGA","NLD",286
"PAK","NLD",491
"PER","NLD",6
"RUS","NLD",324
"RWA","NLD",46
"SLV","NLD",5
"SAU","NLD",24
"SRB","NLD",21
"SEN","NLD",22
"SLE","NLD",373
"SOM","NLD",11225
"VNM","NLD",5
"SDN","NLD",766
"SYR","NLD",32598
"TZA","NLD",5
"TJK","NLD",30
"TKM","NLD",7
"TGO","NLD",21
"TTO","NLD",79
"TUN","NLD",20
"TUR","NLD",2282
"UGA","NLD",467
"UKR","NLD",19
"USA","NLD",26
"UZB","NLD",24
"VEN","NLD",16
"YEM","NLD",1048
"ZMB","NLD",8
"ZWE","NLD",24
"XXA","NLD",863
,"NLD",2827
"CAF","NER",145
"TCD","NER",169
"CMR","NER",14
"COG","NER",5
"COD","NER",80
"ERI","NER",296
"ETH","NER",40
"CIV","NER",41
"IRQ","NER",6
"LBY","NER",8
"MLI","NER",59065
"NGA","NER",165079
"RWA","NER",18
"SOM","NER",163
"SDN","NER",585
"SSD","NER",8
"SYR","NER",9
"TGO","NER",5
"YEM","NER",5
"COL","NIC",6
"CUB","NIC",15
"GTM","NIC",8
"HND","NIC",74
"SLV","NIC",219
"AFG","NGA",5
"BEN","NGA",5
"CAF","NGA",458
"TCD","NGA",88
"CMR","NGA",58757
"COG","NGA",5
"COD","NGA",630
"ERI","NGA",30
"ETH","NGA",5
"PSE","NGA",11
"GHA","NGA",5
"GNB","NGA",5
"GIN","NGA",17
"CIV","NGA",128
"LBR","NGA",9
"LKA","NGA",5
"MLI","NGA",142
"NER","NGA",6
"SLE","NGA",23
"SDN","NGA",47
"SYR","NGA",263
"TGO","NGA",20
"TUR","NGA",174
"AFG","NOR",4576
"ALB","NOR",19
"DZA","NOR",6
"AGO","NOR",12
"EGY","NOR",58
"ARM","NOR",5
"AZE","NOR",24
"BDI","NOR",47
"BGD","NOR",7
"BLR","NOR",5
"BGR","NOR",6
"CAF","NOR",6
"CHN","NOR",516
"CMR","NOR",20
"COG","NOR",5
"COD","NOR",134
"COL","NOR",12
"DJI","NOR",5
"ERI","NOR",13282
"ETH","NOR",1633
"GMB","NOR",15
"GEO","NOR",5
"GHA","NOR",7
"GNB","NOR",5
"GTM","NOR",5
"GIN","NOR",47
"HND","NOR",5
"CIV","NOR",13
"IRN","NOR",1745
"IRQ","NOR",1436
"ISR","NOR",8
"JOR","NOR",6
"KAZ","NOR",15
"KEN","NOR",8
"KGZ","NOR",13
"LBR","NOR",9
"LBY","NOR",58
"LBN","NOR",25
"LKA","NOR",89
"MRT","NOR",5
"MDA","NOR",5
"MLI","NOR",8
"MAR","NOR",22
"MMR","NOR",79
"NPL","NOR",5
"NIC","NOR",5
"NGA","NOR",155
"PAK","NOR",92
"PHL","NOR",5
"RUS","NOR",516
"RWA","NOR",30
"SLV","NOR",10
"SAU","NOR",8
"SRB","NOR",42
"SLE","NOR",11
"SOM","NOR",5894
"VNM","NOR",40
"SDN","NOR",1850
"SSD","NOR",17
"SYR","NOR",14554
"TJK","NOR",5
"TKM","NOR",5
"TUN","NOR",5
"TUR","NOR",1194
"ARE","NOR",5
"UGA","NOR",119
"UKR","NOR",12
"UZB","NOR",186
"VEN","NOR",26
"YEM","NOR",219
"ZWE","NOR",11
"XXA","NOR",2545
"AFG","NRU",29
"BGD","NRU",22
"IND","NRU",9
"IDN","NRU",5
"IRN","NRU",541
"IRQ","NRU",49
"KWT","NRU",5
"LBN","NRU",12
"LKA","NRU",103
"MYS","NRU",5
"MMR","NRU",74
"NPL","NRU",11
"PAK","NRU",34
"SOM","NRU",84
"SDN","NRU",9
"XXA","NRU",66
"AFG","NZL",57
"EGY","NZL",34
"BHR","NZL",26
"BGD","NZL",9
"CHN","NZL",243
"CHL","NZL",5
"CMR","NZL",5
"COD","NZL",5
"COL","NZL",29
"CZE","NZL",20
"ERI","NZL",7
"ETH","NZL",9
"FJI","NZL",25
"PSE","NZL",15
"HUN","NZL",8
"IND","NZL",11
"IDN","NZL",5
"IRN","NZL",130
"IRQ","NZL",70
"JOR","NZL",8
"KWT","NZL",6
"LBY","NZL",22
"LKA","NZL",48
"MDV","NZL",5
"MEX","NZL",5
"MYS","NZL",11
"MNG","NZL",6
"MMR","NZL",12
"NPL","NZL",5
"PAK","NZL",59
"PHL","NZL",7
"PNG","NZL",5
"ZAF","NZL",7
"RUS","NZL",26
"SLV","NZL",5
"SAU","NZL",66
"SOM","NZL",12
"VNM","NZL",8
"SDN","NZL",7
"SYR","NZL",72
"TUR","NZL",54
"UGA","NZL",5
"UZB","NZL",5
"YEM","NZL",8
"ZWE","NZL",18
,"NZL",553
"IRQ","OMN",296
"PAK","OMN",5
"SYR","OMN",8
"AFG","PAK",1424961
"DZA","PAK",22
"CHN","PAK",5
"PSE","PAK",21
"IRN","PAK",39
"IRQ","PAK",22
"MMR","PAK",23
"RUS","PAK",6
"SOM","PAK",181
"SYR","PAK",43
"TJK","PAK",7
"TUR","PAK",6
"YEM","PAK",137
"AFG","PAN",5
"BLR","PAN",7
"BIH","PAN",5
"CMR","PAN",9
"COD","PAN",5
"COL","PAN",1695
"CUB","PAN",120
"DOM","PAN",5
"GTM","PAN",12
"HTI","PAN",19
"HRV","PAN",5
"IRN","PAN",5
"LBR","PAN",5
"MEX","PAN",6
"NIC","PAN",178
"NGA","PAN",10
"PER","PAN",23
"SLV","PAN",344
"SLE","PAN",5
"SDN","PAN",5
"VEN","PAN",63
"BOL","PRY",16
"COL","PRY",17
"CUB","PRY",109
"IRQ","PRY",6
"LKA","PRY",5
"PER","PRY",5
"SLV","PRY",13
"SYR","PRY",88
"TUR","PRY",5
"VEN","PRY",750
"BGD","PER",26
"BOL","PER",20
"BRA","PER",5
"CMR","PER",20
"COD","PER",8
"COL","PER",705
"CUB","PER",479
"DOM","PER",19
"ETH","PER",5
"GMB","PER",5
"PSE","PER",41
"GHA","PER",6
"HTI","PER",78
"IND","PER",6
"IRN","PER",6
"IRQ","PER",42
"NIC","PER",7
"NGA","PER",24
"SLV","PER",6
"SYR","PER",42
"TUR","PER",41
"UKR","PER",17
"VEN","PER",1282
,"PER",15
"AFG","PHL",14
"BDI","PHL",13
"KHM","PHL",13
"CHN","PHL",5
"CMR","PHL",29
"COD","PHL",9
"ERI","PHL",19
"ETH","PHL",5
"PSE","PHL",56
"GHA","PHL",5
"CIV","PHL",28
"IRN","PHL",69
"IRQ","PHL",43
"LBR","PHL",5
"LBN","PHL",5
"LKA","PHL",20
"MAR","PHL",5
"MMR","PHL",7
"NGA","PHL",6
"PAK","PHL",92
"RUS","PHL",5
"SAU","PHL",8
"SOM","PHL",31
"VNM","PHL",12
"SDN","PHL",6
"SYR","PHL",126
"TUR","PHL",54
"YEM","PHL",22
"XXA","PHL",5
"AFG","PNG",40
"BGD","PNG",17
"IDN","PNG",9370
"IRN","PNG",101
"IRQ","PNG",33
"LKA","PNG",13
"MMR","PNG",5
"PAK","PNG",36
"SOM","PNG",18
"SDN","PNG",48
"XXA","PNG",5
"AFG","POL",133
"DZA","POL",5
"EGY","POL",71
"ARM","POL",79
"AZE","POL",8
"BGD","POL",8
"BLR","POL",203
"CAF","POL",5
"CHN","POL",22
"CMR","POL",11
"COG","POL",8
"COD","POL",6
"CUB","POL",17
"ERI","POL",32
"ETH","POL",5
"PSE","POL",18
"GEO","POL",71
"GIN","POL",5
"IND","POL",5
"IRN","POL",60
"IRQ","POL",273
"KAZ","POL",66
"KEN","POL",5
"KGZ","POL",61
"LBY","POL",33
"LKA","POL",49
"MDA","POL",5
"MNG","POL",19
"NPL","POL",8
"NGA","POL",11
"PAK","POL",33
"RUS","POL",9855
"RWA","POL",5
"SRB","POL",5
"SEN","POL",5
"SLE","POL",7
"SOM","POL",51
"VNM","POL",16
"SDN","POL",5
"SYR","POL",547
"TJK","POL",119
"TKM","POL",51
"TUR","POL",139
"UGA","POL",6
"UKR","POL",495
"UZB","POL",24
"YEM","POL",15
"XXA","POL",100
"AFG","PRT",20
"ARM","PRT",5
"BGD","PRT",5
"BLR","PRT",16
"BIH","PRT",10
"CAF","PRT",8
"CMR","PRT",13
"COG","PRT",9
"COD","PRT",53
"COL","PRT",38
"CUB","PRT",5
"ERI","PRT",193
"ETH","PRT",6
"GMB","PRT",5
"PSE","PRT",5
"GNB","PRT",9
"GIN","PRT",96
"CIV","PRT",32
"IRN","PRT",39
"IRQ","PRT",181
"KEN","PRT",6
"LBY","PRT",15
"LKA","PRT",32
"MLI","PRT",13
"MAR","PRT",9
"NGA","PRT",23
"PAK","PRT",68
"RUS","PRT",16
"SEN","PRT",5
"SLE","PRT",25
"SOM","PRT",33
"SDN","PRT",49
"SSD","PRT",30
"SYR","PRT",768
"TGO","PRT",6
"TUR","PRT",8
"UGA","PRT",5
"UKR","PRT",436
"YEM","PRT",9
"XXA","PRT",31
"EGY","QAT",13
"IRQ","QAT",141
"SOM","QAT",9
"SYR","QAT",34
"YEM","QAT",5
"AFG","ROU",161
"AGO","ROU",5
"EGY","ROU",18
"BDI","ROU",7
"BGD","ROU",7
"CAF","ROU",5
"CMR","ROU",23
"COG","ROU",6
"COD","ROU",13
"COM","ROU",5
"ERI","ROU",40
"ETH","ROU",7
"GMB","ROU",5
"PSE","ROU",66
"GIN","ROU",9
"IRN","ROU",106
"IRQ","ROU",743
"JOR","ROU",6
"LBN","ROU",5
"MMR","ROU",26
"NGA","ROU",8
"PAK","ROU",42
"RWA","ROU",9
"SLE","ROU",5
"SOM","ROU",120
"SDN","ROU",16
"SYR","ROU",1976
"TUR","ROU",48
"UGA","ROU",5
"UKR","ROU",19
"YEM","ROU",36
"ZWE","ROU",6
"XXA","ROU",85
"DZA","ZAF",5
"AGO","ZAF",23
"EGY","ZAF",7
"BDI","ZAF",2699
"BEN","ZAF",5
"BGD","ZAF",205
"BGR","ZAF",5
"CAF","ZAF",9
"TCD","ZAF",5
"CMR","ZAF",328
"COG","ZAF",4552
"COD","ZAF",23160
"ERI","ZAF",1574
"EST","ZAF",5
"ETH","ZAF",15990
"PSE","ZAF",39
"GHA","ZAF",7
"CIV","ZAF",28
"IND","ZAF",5
"IRQ","ZAF",14
"JOR","ZAF",5
"KEN","ZAF",143
"LBR","ZAF",50
"LKA","ZAF",10
"MLI","ZAF",5
"MWI","ZAF",8
"MAR","ZAF",5
"NGA","ZAF",9
"PAK","ZAF",12
"RUS","ZAF",10
"RWA","ZAF",1067
"SEN","ZAF",5
"SLE","ZAF",20
"SLB","ZAF",7
"SOM","ZAF",23635
"SDN","ZAF",95
"SWZ","ZAF",7
"SYR","ZAF",40
"TZA","ZAF",33
"TGO","ZAF",12
"TUR","ZAF",5
"UGA","ZAF",472
"UKR","ZAF",5
"YEM","ZAF",5
"ZMB","ZAF",62
"ZWE","ZAF",4003
"AFG","RUS",784
"EGY","RUS",5
"ARM","RUS",5
"AZE","RUS",16
"BGD","RUS",5
"CHN","RUS",11
"CMR","RUS",5
"COG","RUS",5
"COD","RUS",7
"CUB","RUS",5
"EST","RUS",5
"PSE","RUS",7
"GEO","RUS",144
"DEU","RUS",13
"CIV","RUS",5
"IRN","RUS",5
"IRQ","RUS",18
"KAZ","RUS",10
"KGZ","RUS",33
"KOR","RUS",5
"PRK","RUS",60
"LBY","RUS",5
"LBN","RUS",6
"LVA","RUS",5
"MDA","RUS",29
"PAK","RUS",5
"SDN","RUS",5
"SYR","RUS",415
"TJK","RUS",39
"TKM","RUS",17
"TUR","RUS",5
"UKR","RUS",27028
"UZB","RUS",60
"YEM","RUS",99
"XXA","RUS",28
"AGO","RWA",8
"BDI","RWA",70061
"TCD","RWA",5
"COD","RWA",73896
"ERI","RWA",158
"ETH","RWA",9
"SOM","RWA",30
"SDN","RWA",15
"SSD","RWA",7
"COL","SLV",5
"HND","SLV",19
"IRQ","SLV",5
"MEX","SLV",5
"NIC","SLV",9
"SYR","SLV",5
"TCD","SAU",9
"CHN","SAU",14
"ERI","SAU",42
"PSE","SAU",8
"IRQ","SAU",31
"LBR","SAU",9
"SOM","SAU",16
"SYR","SAU",163
"TUN","SAU",7
"YEM","SAU",27
"AFG","SRB",20
"BDI","SRB",5
"BIH","SRB",8125
"CUB","SRB",7
"ETH","SRB",5
"HRV","SRB",17675
"IRN","SRB",17
"IRQ","SRB",13
"LBY","SRB",45
"PAK","SRB",5
"RUS","SRB",5
"SOM","SRB",5
"SDN","SRB",5
"SYR","SRB",29
"TUR","SRB",101
"UKR","SRB",15
"BDI","SEN",8
"CAF","SEN",143
"TCD","SEN",5
"COD","SEN",11
"GMB","SEN",14
"CIV","SEN",24
"MRT","SEN",14116
"RWA","SEN",13
"SDN","SEN",5
"TUR","SEN",5
"CIV","SLE",10
"LBR","SLE",361
"BGD","SOM",6
"CMR","SOM",5
"ERI","SOM",57
"ETH","SOM",4163
"PSE","SOM",22
"IRQ","SOM",21
"SYR","SOM",257
"YEM","SOM",10200
"AFG","ESP",412
"DZA","ESP",68
"AGO","ESP",7
"EGY","ESP",55
"ARM","ESP",34
"AZE","ESP",51
"BDI","ESP",6
"BEN","ESP",5
"BGD","ESP",18
"BLR","ESP",10
"BOL","ESP",7
"BRA","ESP",20
"CAF","ESP",100
"TCD","ESP",7
"CHN","ESP",18
"CHL","ESP",5
"CMR","ESP",101
"COG","ESP",43
"COD","ESP",57
"COL","ESP",327
"CUB","ESP",758
"DOM","ESP",9
"ECU","ESP",5
"GNQ","ESP",33
"ERI","ESP",291
"ETH","ESP",54
"GMB","ESP",36
"PSE","ESP",1192
"GEO","ESP",19
"GNB","ESP",5
"GTM","ESP",43
"GIN","ESP",30
"HTI","ESP",12
"HND","ESP",410
"CIV","ESP",231
"IND","ESP",6
"IRN","ESP",84
"IRQ","ESP",291
"JAM","ESP",34
"JOR","ESP",29
"KAZ","ESP",16
"KGZ","ESP",9
"LBR","ESP",6
"LBY","ESP",57
"LBN","ESP",27
"LKA","ESP",81
"MRT","ESP",14
"MEX","ESP",15
"MLI","ESP",145
"MNG","ESP",5
"MAR","ESP",430
"MMR","ESP",9
"NIC","ESP",255
"NGA","ESP",93
"PAK","ESP",402
"PRY","ESP",34
"PER","ESP",71
"RUS","ESP",257
"SLV","ESP",391
"SAU","ESP",5
"SRB","ESP",5
"SEN","ESP",8
"SLE","ESP",11
"SOM","ESP",729
"SDN","ESP",147
"SSD","ESP",5
"SYR","ESP",14491
"TJK","ESP",5
"TGO","ESP",10
"TTO","ESP",5
"TUN","ESP",14
"TUR","ESP",86
"UGA","ESP",5
"UKR","ESP",667
"USA","ESP",5
"UZB","ESP",12
"VEN","ESP",57481
"ESH","ESP",20
"YEM","ESP",225
"TIB","ESP",5
,"ESP",32
"CUB","KNA",5
"CAF","SDN",19489
"TCD","SDN",3500
"ERI","SDN",113416
"ETH","SDN",6149
"SOM","SDN",304
"SSD","SDN",820687
"SYR","SDN",93498
"YEM","SDN",1354
,"SDN",374
"CUB","SUR",38
"VEN","SUR",9
"BDI","SSD",95
"CAF","SSD",2037
"COD","SSD",15782
"ERI","SSD",244
"ETH","SSD",4162
"SDN","SSD",279812
"AFG","SVK",286
"AGO","SVK",24
"EGY","SVK",5
"ARM","SVK",34
"BDI","SVK",5
"BIH","SVK",36
"BGR","SVK",8
"KHM","SVK",5
"CHN","SVK",5
"CMR","SVK",9
"COD","SVK",16
"CUB","SVK",32
"PSE","SVK",7
"IRN","SVK",31
"IRQ","SVK",214
"LBR","SVK",5
"PAK","SVK",7
"ROU","SVK",37
"RUS","SVK",37
"SRB","SVK",46
"SOM","SVK",32
"VNM","SVK",16
"SYR","SVK",16
"UGA","SVK",5
"UKR","SVK",24
"UZB","SVK",5
"YEM","SVK",21
"XXA","SVK",9
"AFG","SVN",55
"BIH","SVN",6
"CMR","SVN",5
"COD","SVN",6
"ERI","SVN",86
"PSE","SVN",24
"IRN","SVN",75
"IRQ","SVN",45
"KAZ","SVN",20
"NGA","SVN",6
"PAK","SVN",5
"RUS","SVN",21
"SRB","SVN",10
"SOM","SVN",50
"SDN","SVN",6
"SYR","SVN",319
"TUR","SVN",56
"UKR","SVN",5
"YEM","SVN",6
"AGO","SWZ",13
"BDI","SWZ",184
"COG","SWZ",23
"COD","SWZ",404
"ETH","SWZ",11
"GIN","SWZ",5
"KEN","SWZ",5
"LKA","SWZ",5
"RWA","SWZ",185
"SOM","SWZ",99
"UGA","SWZ",6
"ZWE","SWZ",8
"AFG","SWE",30272
"ALB","SWE",318
"DZA","SWE",60
"AGO","SWE",22
"EGY","SWE",407
"ARM","SWE",359
"AZE","SWE",640
"BHR","SWE",17
"BDI","SWE",217
"BEN","SWE",10
"BGD","SWE",245
"BFA","SWE",5
"BLR","SWE",112
"BOL","SWE",56
"BRA","SWE",8
"BIH","SWE",86
"BGR","SWE",16
"CAF","SWE",70
"TCD","SWE",19
"CHN","SWE",282
"CHL","SWE",12
"CMR","SWE",193
"COG","SWE",36
"COD","SWE",864
"COM","SWE",5
"COL","SWE",38
"CUB","SWE",31
"DJI","SWE",30
"ECU","SWE",5
"GNQ","SWE",5
"ERI","SWE",27681
"ETH","SWE",2547
"FRA","SWE",5
"GMB","SWE",182
"PSE","SWE",1213
"GBR","SWE",5
"GEO","SWE",99
"GHA","SWE",64
"GNB","SWE",8
"GRC","SWE",18
"GTM","SWE",10
"GIN","SWE",72
"HND","SWE",27
"HUN","SWE",5
"CIV","SWE",48
"IND","SWE",21
"IDN","SWE",16
"IRN","SWE",7415
"IRQ","SWE",12058
"ISR","SWE",24
"JOR","SWE",282
"KAZ","SWE",239
"KEN","SWE",93
"KGZ","SWE",173
"KOR","SWE",5
"PRK","SWE",5
"KWT","SWE",32
"LBR","SWE",13
"LBY","SWE",387
"LBN","SWE",535
"LKA","SWE",30
"MRT","SWE",13
"MKD","SWE",47
"MDA","SWE",8
"MLI","SWE",43
"MYS","SWE",13
"MNG","SWE",273
"MAR","SWE",252
"MNE","SWE",31
"MMR","SWE",9
"NPL","SWE",12
"NER","SWE",5
"NIC","SWE",60
"NGA","SWE",585
"PAK","SWE",605
"PER","SWE",9
"PHL","SWE",6
"POL","SWE",5
"ROU","SWE",50
"RUS","SWE",1454
"RWA","SWE",44
"SLV","SWE",132
"SAU","SWE",61
"SRB","SWE",773
"SEN","SWE",57
"SLE","SWE",69
"SOM","SWE",15199
"VNM","SWE",38
"SDN","SWE",1127
"SSD","SWE",63
"SVK","SWE",5
"SWZ","SWE",5
"SYR","SWE",114054
"TZA","SWE",57
"THA","SWE",5
"TJK","SWE",61
"TKM","SWE",10
"TGO","SWE",5
"TUN","SWE",50
"TUR","SWE",1801
"ARE","SWE",5
"UGA","SWE",742
"UKR","SWE",225
"USA","SWE",22
"UZB","SWE",546
"VEN","SWE",25
"YEM","SWE",1728
"ZMB","SWE",12
"ZWE","SWE",18
"XXA","SWE",22319
,"SWE",580
"AFG","CHE",14467
"ALB","CHE",112
"DZA","CHE",167
"AGO","CHE",741
"EGY","CHE",127
"ARM","CHE",155
"AZE","CHE",136
"BHR","CHE",5
"BDI","CHE",146
"BEN","CHE",22
"BGD","CHE",54
"BFA","CHE",18
"BLR","CHE",52
"BRA","CHE",6
"BIH","CHE",1657
"BGR","CHE",6
"KHM","CHE",291
"CAF","CHE",17
"TCD","CHE",38
"CHN","CHE",2918
"CHL","CHE",11
"CMR","CHE",188
"COG","CHE",52
"COD","CHE",1277
"COL","CHE",264
"CUB","CHE",34
"CZE","CHE",5
"DJI","CHE",16
"DOM","CHE",5
"ECU","CHE",5
"GNQ","CHE",5
"ERI","CHE",37769
"ETH","CHE",1728
"FRA","CHE",7
"GAB","CHE",5
"GMB","CHE",54
"GEO","CHE",181
"DEU","CHE",5
"GHA","CHE",22
"GNB","CHE",53
"GTM","CHE",7
"GIN","CHE",189
"HRV","CHE",21
"HUN","CHE",5
"CIV","CHE",189
"IND","CHE",34
"IRN","CHE",1951
"IRQ","CHE",4733
"ISR","CHE",5
"ITA","CHE",5
"JAM","CHE",5
"JOR","CHE",59
"KAZ","CHE",21
"KEN","CHE",41
"KGZ","CHE",20
"KWT","CHE",6
"LAO","CHE",115
"LBR","CHE",37
"LBY","CHE",329
"LBN","CHE",46
"LKA","CHE",6070
"MDG","CHE",5
"MRT","CHE",10
"MKD","CHE",163
"MDA","CHE",11
"MLI","CHE",34
"MNG","CHE",155
"MAR","CHE",74
"MNE","CHE",56
"MMR","CHE",37
"NPL","CHE",21
"NER","CHE",8
"NIC","CHE",5
"NGA","CHE",263
"PAK","CHE",269
"PRY","CHE",5
"PER","CHE",6
"PHL","CHE",10
"PRT","CHE",5
"ROU","CHE",19
"ZAF","CHE",11
"RUS","CHE",757
"RWA","CHE",127
"SLV","CHE",7
"SAU","CHE",18
"SRB","CHE",2413
"SEN","CHE",56
"SLE","CHE",36
"SOM","CHE",4975
"ESP","CHE",5
"VNM","CHE",848
"SDN","CHE",335
"SSD","CHE",19
"SYR","CHE",20077
"TZA","CHE",16
"TJK","CHE",22
"TKM","CHE",5
"TGO","CHE",582
"TUN","CHE",207
"TUR","CHE",4598
"UGA","CHE",50
"UKR","CHE",69
"UZB","CHE",54
"VEN","CHE",27
