supplier,recipient,no_ordered,weapon_designation,weapon_description,year_of_order,year_of_delivery,no_delivered,comments
Finland,Portugal,12,W-12,Diesel engine,-2002,2010-2019,8,For 6 Viana do Castelo (NPO-2000) OPV produced in Portugal
France,Denmark,-9,FLASH,ASW sonar,2000,,,ASQ-22 ALFS version; for 9 MH-60R ASW helicopters from USA; from US production line
France,Egypt,2,UMS-4110 BlueMaster,ASW sonar,2020,2020,1,For 2 FREMM frigates from Italy
France,Qatar,16,NH-90 TTH,Transport helicopter,2018,,,Part of EUR3 b deal; delivery planned 2021-2025
France,Australia,12,Barracuda,Submarine,-2019,,,AUD90 b ($70 b) 'SEA-1000' programme; produced under licence in Australia (incl. at least 60% of value from Australian production); Shortfin Barracuda Block-1A version; Australian designation Attack; delivery planned 2033/2034-2050
France,Belgium,6,MCM-2720,MCM ship,2019,,,Part of EUR2 b 'MCMV' programme (incl 6 for Netherlands; incl production of components in Belgium); delivery planned from 2023/2024
France,Brazil,43,EC725 Super Cougar,Transport helicopter,2008,2010-2020,-38,"Part of EUR1.9 b 'H-XBR' programme; H225M version; incl 3 CSAR version; Brazilian designations H-36, HM-4, UH-15A and UH-15B; delivery planned 2010-2022"
France,Brazil,2,P-400,Patrol craft,2009,,,NAPA-500 version; produced under licence in Brazil; Brazilian designation Macae
France,Brazil,4,Scorpene,Submarine,2009,,,Part of EUR6.8 b 'SDP' programme; S-BR version; produced under licence in Brazil; Brazilian designation Riachuelo; delivery planned 2021-2024
France,Brazil,1,SNBR,Nuclear submarine,2009,,,Part of EUR6.8 b 'SDP' programme; produced under licence in Brazil with nuclear reactor designed and produced in Brazil; delivery planned 2033/2034
France,Brazil,-20,AM-39 Exocet,Anti-ship missile,-2011,2018-2020,-15,AM-39 Block-2Mod-2 version; for EC-725 (AH-15B) helicopters; incl production of components in Brazil
France,Brazil,5,EC725 Super Cougar,Anti-ship helicopter,2012,2019-2020,-2,Part of EUR1.9 b 'H-XBR' programme; H225M version; Brazilian designation AH-15B and Operacio MB; delivery planned 2019-2022
France,China,. .,AS565S Panther,ASW helicopter,-1980,1989-2020,-49,AS365F version; Chinese designation Z-9C Haitun; produced in China
France,China,. .,AS365/AS565 Panther,Helicopter,1988,1992-2020,-442,Produced under licence in China as Z-9A or Z-9A-100 Haitun and Z-9B/G; incl Z-9WZ anti-tank version
France,China,. .,Arriel,Turboshaft,-2005,2012-2020,-560,For Z-19 combat helicopter produced in China; Arriel-2 version produced under licence in China as WZ-8C
France,China,-34,PC2.5,Diesel engine,-2005,2007-2019,-26,PC-2.6 version for 6 Type-071 (Yuzhao) AALS and 1 Danyao support ship produced in China
France,China,-144,PA6,Diesel engine,-2010,2013-2020,-140,Produced under licence in China; for 70 Type-056 (Jiangdao) frigates produced in China
France,Czechia,62,TITUS,APC,2019,,,CZK6b ($264 m) deal (produced in Czech Republic); incl. 40 command post and 20 fire control versions; delivery planned 2022-2023
France,Egypt,4,Gowind-2500,Frigate,2014,2017,1,EUR1 b deal incl option on 2 more; incl 3 produced under licence in Egypt; Egyptian designation El Fateh
France,India,6,Scorpene,Submarine,2005,2017-2019,2,INR207-237 b ($3.2-4.5 b) 'Project-75' programme; produced under licence in India as Kalvari; delivery planned 2017-2022/2023 (delayed from 2012-2017)
