"group","yfield","xfield"
"U.S.A.",0,1613
"Denmark/Baltic",0,1613
"Portugal",8477,1614
"Great Britain",0,1614
"France",0,1614
"Spain",1045,1614
"Netherlands",0,1614
"U.S.A.",0,1614
"Denmark/Baltic",0,1614
"Portugal",9059,1615
"Great Britain",0,1615
"France",0,1615
"Spain",1045,1615
"Netherlands",617,1615
"U.S.A.",0,1615
"Denmark/Baltic",0,1615
"Portugal",13794,1616
"Great Britain",0,1616
"France",0,1616
"Spain",5151,1616
"Netherlands",0,1616
"U.S.A.",0,1616
"Denmark/Baltic",0,1616
"Portugal",14473,1617
"Great Britain",0,1617
"France",0,1617
"Spain",5151,1617
"Netherlands",0,1617
"U.S.A.",0,1617
"Denmark/Baltic",0,1617
"Portugal",16055,1618
"Great Britain",0,1618
"France",0,1618
"Spain",5151,1618
"Netherlands",0,1618
"U.S.A.",0,1618
"Denmark/Baltic",0,1618
"Portugal",15999,1619
"Great Britain",0,1619
"France",0,1619
"Spain",5151,1619
"Netherlands",0,1619
"U.S.A.",0,1619
"Denmark/Baltic",0,1619
"Portugal",16674,1620
"Great Britain",0,1620
"France",0,1620
"Spain",5151,1620
"Netherlands",0,1620
"U.S.A.",0,1620
"Denmark/Baltic",0,1620
"Portugal",16960,1621
"Great Britain",0,1621
"France",0,1621
"Spain",5437,1621
"Netherlands",0,1621
"U.S.A.",0,1621
"Denmark/Baltic",0,1621
"Portugal",16960,1622
"Great Britain",0,1622
"France",0,1622
"Spain",5437,1622
"Netherlands",0,1622
"U.S.A.",0,1622
"Denmark/Baltic",0,1622
"Portugal",16960,1623
"Great Britain",0,1623
"France",0,1623
"Spain",5437,1623
"Netherlands",0,1623
"U.S.A.",0,1623
"Denmark/Baltic",0,1623
"Portugal",16960,1624
"Great Britain",0,1624
"France",0,1624
"Spain",5437,1624
"Netherlands",0,1624
"U.S.A.",0,1624
"Denmark/Baltic",0,1624
"Portugal",16960,1625
"Great Britain",0,1625
"France",0,1625
"Spain",5437,1625
"Netherlands",0,1625
"U.S.A.",0,1625
"Denmark/Baltic",0,1625
"Portugal",13320,1626
"Great Britain",0,1626
"France",0,1626
"Spain",1797,1626
"Netherlands",0,1626
"U.S.A.",0,1626
"Denmark/Baltic",0,1626
"Portugal",13604,1627
"Great Britain",0,1627
"France",0,1627
"Spain",1797,1627
"Netherlands",0,1627
"U.S.A.",0,1627
"Denmark/Baltic",0,1627
"Portugal",13320,1628
"Great Britain",141,1628
"France",0,1628
"Spain",1797,1628
"Netherlands",0,1628
"U.S.A.",0,1628
"Denmark/Baltic",0,1628
"Portugal",13320,1629
"Great Britain",0,1629
"France",0,1629
"Spain",1797,1629
"Netherlands",0,1629
"U.S.A.",0,1629
"Denmark/Baltic",0,1629
"Portugal",8493,1630
"Great Britain",0,1630
"France",0,1630
"Spain",1797,1630
"Netherlands",326,1630
"U.S.A.",0,1630
"Denmark/Baltic",0,1630
"Portugal",8951,1631
