FID,AREA,PERIMETER,NSUADMIN4L,NSUADMIN40,COUNTY,PAYAM,REGION,PCODE,Shape__Area,Shape__Length
18,0.071,1.249,40,0,Twic,Panyok,Bahr el Ghazal,SU081004,892213429.686523,140152.285866335
19,0.059,1.465,41,0,Gogrial,Akon,Bahr el Ghazal,SU080601,742057510.602051,164222.562615187
20,0.029,0.815,42,0,Twic,Akoc,Bahr el Ghazal,SU081002,369215162.310547,91553.7514976183
21,0.044,1.04,43,0,Twic,Aweng,Bahr el Ghazal,SU081003,557157619.372559,116682.207085313
22,0.212,2.125,46,0,Aweil West,Gomjuer,Bahr el Ghazal,SU080403,2660623069.03589,238406.669955843
23,0.298,2.595,47,0,Gogrial,Toch,Bahr el Ghazal,SU080607,3731849656.29932,290350.270607183
24,0.124,2.014,51,0,Gogrial,Alek,Bahr el Ghazal,SU080602,1559614829.5332,225478.9765659
25,0.367,2.65,52,0,Guit,Guit,Upper Nile,SU070601,4600769529.19458,295845.989288485
26,0.215,1.984,53,0,Latjor,Maiwut,Upper Nile,SU070805,2692595150.14331,222126.060982346
27,0.018,0.692,54,0,Gogrial,Riau,Bahr el Ghazal,SU080606,221845432.435303,77356.1011007392
28,0.2,2.088,55,0,Aweil West,Mariam,Bahr el Ghazal,SU080404,2512778429.35767,233417.602924128
29,0.074,1.089,56,0,Aweil South,Mangargier,Bahr el Ghazal,SU080303,927873601.773193,121806.492112855
30,0.045,1.265,57,0,Aweil South,Wathmouk,Bahr el Ghazal,SU080304,565614273.371094,141255.479302394
31,0.029,0.924,62,0,Aweil South,Gakrol,Bahr el Ghazal,SU080302,368556119.381104,103110.787777131
32,0.074,1.035,63,0,Gogrial,Gogrial,Bahr el Ghazal,SU080603,922944966.344727,115880.378793856
33,0.052,0.979,64,0,Aweil South,Baau,Bahr el Ghazal,SU080301,649295827.979004,109424.430240648
34,0.438,3.415,65,0,Aweil West,Arioyo,Bahr el Ghazal,SU080401,5481005018.2688,380996.209418767
35,0.082,1.742,66,0,Gogrial,Pathuon,Bahr el Ghazal,SU080605,1026491652.83618,195206.703729639
36,0.712,3.93,72,0,Wau,Udici,Bahr el Ghazal,SU081104,8902495924.74121,438682.748224313
37,0.022,0.662,73,0,Gogrial,Kuajok,Bahr el Ghazal,SU080604,280770209.079102,74084.2049063507
38,0.116,1.427,76,0,Wau,Marial Wau,Bahr el Ghazal,SU081103,1448069732.05859,159872.507782448
39,0.238,2.049,80,0,Panyijar,Nyal,Upper Nile,SU071402,2980451180.63379,228882.33373582
40,0.267,2.706,82,0,Wau,Kuajiena,Bahr el Ghazal,SU081102,3336705382.64355,303109.284849832
41,0.346,3.279,83,0,North Bor,Duk Padiet,Upper Nile,SU071101,4326217700.23022,365650.077536731
42,0.355,2.485,87,0,Akobo,Nyandit,Upper Nile,SU070102,4441184083.20947,277634.024132689
43,1.162,5.452,88,0,Wau,Wau West,Bahr el Ghazal,SU081105,14512482632.4972,608334.381662949
44,0.185,1.759,92,0,Panyijar,Ganyiel,Upper Nile,SU071401,2310470389.81396,196433.788588158
45,0.581,3.596,93,0,Wau,Bazia,Bahr el Ghazal,SU081101,7254978059.72583,401554.135790505
46,0.039,0.805,95,0,Pochalla,Burator,Upper Nile,SU071603,488955981.390625,90042.1080797789
47,0.102,1.316,97,0,Rumbek-Cueibet,Citcok,Bahr el Ghazal,SU080805,1276308245.5708,147181.471481177
48,0.151,2.916,98,0,North Bor,Nyuak,Upper Nile,SU071106,1888534650.17432,324912.313334074
49,0.038,0.958,99,0,Pochalla,Adongo,Upper Nile,SU071601,471288917.62793,106874.730365332
50,0.117,1.6,100,0,Pochalla,Pochalla,Upper Nile,SU071604,1458612904.36621,178522.513511613
51,0.309,2.669,101,0,Yirol,Ador,Bahr el Ghazal,SU081202,3857571278.79858,298187.324459256
52,0.243,2.737,102,0,North Bor,Paliau,Upper Nile,SU071107,3028333375.22339,305064.696845516
53,0.148,1.79,103,0,Rumbek-Cueibet,Alamtoch West,Bahr el Ghazal,SU080803,1844650765.20288,200103.56746584
54,0.144,1.931,104,0,Yirol,Aluakluak,Bahr el Ghazal,SU081203,1798075883.66431,216044.66130023
55,0.098,1.305,105,0,Yirol,Lou,Bahr el Ghazal,SU081204,1219187328.4563,146052.806666254
