"scalerank","featurecla","name","website","natlscale","latitude","longitude"
8,"Port","Oxelosund","www.oxhamn.se",5.0,58.66166667,17.10795053
8,"Port","Pitea","www.bottenvikens-stuveri.se",5.0,65.30888889,21.47037691
8,"Port","Sodertalje","www.soeport.se",5.0,59.16972222,17.65918728
8,"Port","Trelleborg","www.trelleborgshamn.se",5.0,55.36805556,13.15159011
8,"Port","Uddevalla","www.uddevalla-hamn.se",5.0,58.34805556,11.90477032
8,"Port","Ystad","www.ystad.se",5.0,55.42138889,13.82073027
8,"Port","Bangkok","www.bkp.port.co.th",5.0,13.69583333,100.5849234
8,"Port","Laem Chabang","www.port.co.th",5.0,13.07388889,100.8909305
8,"Port","Sriracha","www.srirachaport.com",5.0,13.17138889,100.9186101
8,"Port","Point Lisas","www.plipdeco.com",5.0,10.38833333,-61.48951708
8,"Port","Mersin","www.tcdd.gov.tr",5.0,36.79694444,34.64057715
8,"Port","Berdyansk","www.ukrport.org.ua",5.0,46.75138889,36.77320377
8,"Port","Kerch","www.ukrport.org.ua",5.0,45.355,36.48563015
8,"Port","Richmond","www.ci.richmond.ca.us/index.asp?NID=102",5.0,37.91388889,-122.3590106
8,"Port","Wilmington","www.portofwilmingtonde.com",5.0,39.71666667,-75.51984688
8,"Port","Quincy","www.forerivershipyard.com",5.0,42.24138889,-70.96896349
8,"Port","Nawiliwili","www.state.hi.us/dot/harbors",5.0,21.95388889,-159.3530035
8,"Port","Monterey","www.monterey.org/harbor",5.0,36.60555556,-121.888987
8,"Port","Wilmington","www.ncports.com",5.0,34.19194444,-77.95265018
8,"Port","Gloucester City","www.holtoversight.com",5.0,39.90361111,-75.12267373
8,"Port","Bayonne","www.bayonnenj.org",5.0,40.6625,-74.1024735
8,"Port","Baltimore","www.mpa.state.md.us",5.0,39.2325,-76.55565371
8,"Port","Jacksonville","www.jaxport.com",5.0,30.38083333,-81.55918728
8,"Port","Newport News","www.vaports.com",5.0,36.98055556,-76.4262073
8,"Port","Port Arthur","www.portofportarthur.com",5.0,29.84305556,-93.95706714
8,"Port","Portsmouth","www.vaports.com",5.0,36.81666667,-76.28828033
8,"Port","Wilmington","www.ncports.com",5.0,34.19194444,-77.95265018
8,"Port","Port Arthur","www.portofportarthur.com",5.0,29.84305556,-93.95706714
8,"Port","Alexandria",,5.0,38.80111111,-77.03722026
8,"Port","Newport News","www.vaports.com",5.0,36.98055556,-76.4262073
8,"Port","Brownsville","www.portofbrownsville.org",5.0,47.65138889,-122.6086572
8,"Port","Vancouver","www.portvanusa.com",5.0,45.63472222,-122.7038869
8,"Port","Guanta","www.puertodeguanta.gob.ve",5.0,10.24916667,-64.59040047
