@Trim Country,B2P Fiscal Year,Back,Bridge Name,Bridge Type,Country,Level 1 Government,Level 2 Government,Project Code,Project Type,Stage,Year,Individuals Directly Served,Latitude,Longitude,Number of Records,Span (m)
Nicaragua,1/1/2018,Back,El Riito,Suspension Bridge,Nicaragua,Madriz,Palacagüina,1009821,B2P Built,Complete,1/1/2018,"9,000",13.463,-86.406611,1,74
Bolivia,1/1/2018,Back,Santa Rosa,Suspended Bridge,BOL,Chuquisaca,Azurduy,1009908,B2P Built,Complete,1/1/2018,830,-19.88227778,-64.397175,1,84
Swaziland,1/1/2018,Back,Ndlembeni,Suspended Bridge,Swaziland,Hhohho,Piggs Peak,1010339,B2P Supported,Complete,1/1/2018,"5,000",-26.02403,31.25254,1,75.6
Bolivia,1/1/2019,Back,Yauri Totora,Suspended Bridge,BOL,Cochabamba,Tapacarí,1010340,B2P Built,Complete,1/1/2019,150,-17.63,-66.82555,1,51
Haiti,1/1/2018,Back,Pina,Suspended Bridge,Haiti,Artibonite,,1012176,B2P Built,Complete,1/1/2018,"5,000",19.41823,-72.40353,1,40
Uganda,1/1/2020,Back,Kapchemelei,,UGA,Eastern Region,Kween,1011290,B2P Built,Confirmed,1/1/2020,"3,550",1.359521,34.522313,1,
Rwanda,1/1/2019,Back,Nkuna,Suspended Bridge,RWA,Western Province,Rutsiro,1011309,B2P Built,Complete,1/1/2019,"2,699",-1.763,29.37679,1,78
Rwanda,1/1/2019,Back,Kazo,Suspended Bridge,RWA,Western Province,Rutsiro,1011307,B2P Built,Complete,1/1/2019,"12,145",-1.77286,29.37514,1,58
Swaziland,1/1/2018,Back,Kontshingila,Suspended Bridge,Swaziland,,,1010081,B2P Supported,Complete,1/1/2018,"2,215",-27.04298,31.37351,1,67.6
Uganda,1/1/2019,Back,Lulwo,Suspended Bridge,UGA,Eastern Region,Bukwo,1011066,B2P Built,Complete,1/1/2019,"1,626",1.304767,34.811307,1,64
Rwanda,1/1/2019,Back,Rwamamara,Suspended Bridge,RWA,Western Province,Ngororero,1010941,B2P Built,Complete,1/1/2019,"4,200",-1.83113,29.62303,1,58
Uganda,1/1/2019,Back,Kapkwomboloi,Suspended Bridge,UGA,Eastern Region,Kapchorwa,1011592,B2P Built,Complete,1/1/2019,693,1.3947033,34.3742902,1,40
Bolivia,1/1/2019,Back,La Marca,Suspension Bridge,BOL,Chuquisaca,Azurduy,1012406,B2P Built,Complete,1/1/2019,550,-20.11359444,-64.40594722,1,110
Bolivia,1/1/2018,Back,Kayarani,Suspended Bridge,BOL,Cochabamba,Chapare,1011797,B2P Built,Complete,1/1/2018,300,-17.2685,-65.88512,1,39
Nicaragua,1/1/2018,Back,Yayule #2,Suspension Bridge,Nicaragua,Matagalpa,El Tuma-La Dalia,1010448,B2P Built,Complete,1/1/2018,"2,000",13.021555,-85.740133,1,46
