Country_Name,Country_Code,Indicator_Name,2017,2018,2019,2020
French Polynesia,PYF,"GDP per capita, PPP (constant 2017 international $)",,,,
Qatar,QAT,"GDP per capita, PPP (constant 2017 international $)",91738.75279,90970.0609,90043.799,85266.21059
Romania,ROU,"GDP per capita, PPP (constant 2017 international $)",27141.91933,28523.47318,29857.64647,28832.62315
Russian Federation,RUS,"GDP per capita, PPP (constant 2017 international $)",25926.44385,26656.40954,27210.546,26456.38794
Rwanda,RWA,"GDP per capita, PPP (constant 2017 international $)",1975.248661,2088.749224,2227.517033,2098.710362
South Asia,SAS,"GDP per capita, PPP (constant 2017 international $)",5773.980787,6072.748645,6243.088906,5781.740107
Saudi Arabia,SAU,"GDP per capita, PPP (constant 2017 international $)",47306.22232,47592.76715,46962.14769,44328.18391
Sudan,SDN,"GDP per capita, PPP (constant 2017 international $)",4327.782553,4344.529887,4185.600635,4022.865967
Senegal,SEN,"GDP per capita, PPP (constant 2017 international $)",3203.906368,3309.486173,3361.461548,3300.085493
Singapore,SGP,"GDP per capita, PPP (constant 2017 international $)",95350.43567,98222.84604,98411.58206,93397.0488
Solomon Islands,SLB,"GDP per capita, PPP (constant 2017 international $)",2663.939508,2697.646431,2660.979697,2482.87192
Sierra Leone,SLE,"GDP per capita, PPP (constant 2017 international $)",1642.60747,1663.29348,1719.789744,1648.05336
El Salvador,SLV,"GDP per capita, PPP (constant 2017 international $)",8454.055551,8614.017959,8796.062064,8056.543086
San Marino,SMR,"GDP per capita, PPP (constant 2017 international $)",58867.01336,59576.42939,60847.10676,
Somalia,SOM,"GDP per capita, PPP (constant 2017 international $)",867.4542909,866.7653021,866.7622897,829.6114289
Serbia,SRB,"GDP per capita, PPP (constant 2017 international $)",16611.01686,17452.7959,18292.17503,18210.00462
Sub-Saharan Africa (excluding high income),SSA,"GDP per capita, PPP (constant 2017 international $)",3786.343617,3798.510049,3803.323828,3639.558146
South Sudan,SSD,"GDP per capita, PPP (constant 2017 international $)",,,,
Sub-Saharan Africa,SSF,"GDP per capita, PPP (constant 2017 international $)",3788.476557,3800.614533,3805.407101,3641.344208
Small states,SST,"GDP per capita, PPP (constant 2017 international $)",20472.41387,20544.17697,20586.64375,19091.84539
Sao Tome and Principe,STP,"GDP per capita, PPP (constant 2017 international $)",3952.945394,3993.278796,4005.341623,4051.604844
Suriname,SUR,"GDP per capita, PPP (constant 2017 international $)",18283.68839,19005.65435,19036.74504,16130.17081
Slovak Republic,SVK,"GDP per capita, PPP (constant 2017 international $)",30077.84553,31132.57297,31871.33492,30330.04289
Slovenia,SVN,"GDP per capita, PPP (constant 2017 international $)",36505.67722,37968.35206,38905.54786,36547.73896
Sweden,SWE,"GDP per capita, PPP (constant 2017 international $)",51947.95425,52349.29243,52531.17438,50683.32351
Eswatini,SWZ,"GDP per capita, PPP (constant 2017 international $)",8408.043122,8520.592386,8621.804067,8392.717564
Sint Maarten (Dutch part),SXM,"GDP per capita, PPP (constant 2017 international $)",37914.12297,35342.10661,,
Seychelles,SYC,"GDP per capita, PPP (constant 2017 international $)",27242.65603,27342.16165,27521.16677,24361.89394
Syrian Arab Republic,SYR,"GDP per capita, PPP (constant 2017 international $)",,,,
Turks and Caicos Islands,TCA,"GDP per capita, PPP (constant 2017 international $)",27060.58966,28160.88929,29251.07773,21122.00571
Chad,TCD,"GDP per capita, PPP (constant 2017 international $)",1587.032328,1576.321115,1579.626101,1519.912362
East Asia & Pacific (IDA & IBRD countries),TEA,"GDP per capita, PPP (constant 2017 international $)",13123.17159,13870.48058,14566.84478,14592.45338
Europe & Central Asia (IDA & IBRD countries),TEC,"GDP per capita, PPP (constant 2017 international $)",21897.21662,22555.66725,23053.85352,22528.04822
Togo,TGO,"GDP per capita, PPP (constant 2017 international $)",2012.240693,2061.334176,2121.899918,2107.877261
Thailand,THA,"GDP per capita, PPP (constant 2017 international $)",17422.95235,18095.73657,18453.46982,17286.86661
Tajikistan,TJK,"GDP per capita, PPP (constant 2017 international $)",3252.932655,3415.322336,3581.411402,3657.573507
Turkmenistan,TKM,"GDP per capita, PPP (constant 2017 international $)",14205.02651,14845.34465,15538.41997,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"GDP per capita, PPP (constant 2017 international $)",16233.10903,16367.16306,16353.63967,15111.71568
Timor-Leste,TLS,"GDP per capita, PPP (constant 2017 international $)",3145.483121,3051.668117,3552.596998,3181.137188
Middle East & North Africa (IDA & IBRD countries),TMN,"GDP per capita, PPP (constant 2017 international $)",10955.58981,10807.50346,10669.33751,10228.35731
Tonga,TON,"GDP per capita, PPP (constant 2017 international $)",6467.124278,6411.289368,6378.128346,
South Asia (IDA & IBRD),TSA,"GDP per capita, PPP (constant 2017 international $)",5773.980787,6072.748645,6243.088906,5781.740107
Sub-Saharan Africa (IDA & IBRD countries),TSS,"GDP per capita, PPP (constant 2017 international $)",3788.476557,3800.614533,3805.407101,3641.344208
Trinidad and Tobago,TTO,"GDP per capita, PPP (constant 2017 international $)",26342.61666,26250.37224,25827.88507,23728.15865
Tunisia,TUN,"GDP per capita, PPP (constant 2017 international $)",10605.29488,10763.72978,10755.57266,9727.504259
Turkey,TUR,"GDP per capita, PPP (constant 2017 international $)",27913.81872,28312.68342,28199.05159,28384.98778
Tuvalu,TUV,"GDP per capita, PPP (constant 2017 international $)",3896.748473,3945.563673,4274.763166,4411.003116
Tanzania,TZA,"GDP per capita, PPP (constant 2017 international $)",2530.603317,2590.201138,2660.420433,2635.335891
Uganda,UGA,"GDP per capita, PPP (constant 2017 international $)",2074.652436,2121.96782,2187.465227,2177.595854
Ukraine,UKR,"GDP per capita, PPP (constant 2017 international $)",11871.12362,12338.00245,12808.799,12377.01729
Upper middle income,UMC,"GDP per capita, PPP (constant 2017 international $)",16254.87497,16893.68555,17440.33944,17145.95504
Uruguay,URY,"GDP per capita, PPP (constant 2017 international $)",23009.87423,23035.08339,23032.73404,21608.43027
