ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,date,validOn,validTo,POINT_X,POINT_Y
Ethiopia,ET,Amhara,ET03,North Shewa (AM),ET0305,Berehet,ET030517,,<Null>,,2019/08/19,2020/10/08,,39.68528303200,9.18779676300
Ethiopia,ET,SNNP,ET07,Mirab Omo,ET0718,Bero,ET071805,,<Null>,,2019/08/19,2020/10/08,,35.23859720800,6.34277424800
Ethiopia,ET,Somali,ET05,Shabelle,ET0506,Berocano,ET050608,,<Null>,,2019/08/19,2020/10/08,,43.19320134200,6.16422263400
Ethiopia,ET,Amhara,ET03,North Gondar,ET0301,Beyeda,ET030102,,<Null>,,2019/08/19,2020/10/08,,38.45798870900,13.23978437300
Ethiopia,ET,Amhara,ET03,East Gojam,ET0306,Bibugn,ET030601,,<Null>,,2019/08/19,2020/10/08,,37.75379270300,10.83386152000
Ethiopia,ET,Afar,ET02,Kilbati /Zone2,ET0202,Bidu,ET020208,,<Null>,,2019/08/19,2020/10/08,,41.37954191100,13.00328266800
Ethiopia,ET,Oromia,ET04,East Wellega,ET0402,Bila Seyo,ET040207,,<Null>,,2019/08/19,2020/10/08,,36.93379173100,9.39179984000
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Bilate Zuria,ET160032,,<Null>,,2019/08/19,2020/10/08,,38.20901508200,6.93878964700
Ethiopia,ET,Somali,ET05,Jarar,ET0503,Bilcil-Bur,ET050306,,<Null>,,2019/08/19,2020/10/08,,43.29765662500,8.38147843800
Ethiopia,ET,Benishangul Gumz,ET06,Asosa,ET0603,Bilidigilu,ET060306,,<Null>,,2019/08/19,2020/10/08,,35.11448509000,10.12879103700
Ethiopia,ET,Oromia,ET04,Ilu Aba Bora,ET0403,Bilo Nopha,ET040315,,<Null>,,2019/08/19,2020/10/08,,35.53031498700,8.43026238000
