"Year","State","Category","Percent"
"2014","Hawaii","Renewables",9.54470652770159
"2014","Hawaii","Petroleum",73.911135490949
"2014","Hawaii","coal",16.083379045529348
"2014","Idaho","Renewables",1.8398637137989777
"2014","Idaho","natural gas",21.482112436115845
"2014","Idaho","Hydro",76.67802385008517
"2014","Illinois","Renewables",5.35570537331455
"2014","Illinois","coal",43.01217548802576
"2014","Illinois","natural gas",2.2891929965787887
"2014","Illinois","nuclear",49.2342523646609
"2014","Indiana","Petroleum",1.2424306662857039
"2014","Indiana","coal",89.83474197443248
"2014","Indiana","natural gas",8.300690341668433
"2014","Iowa","Renewables",30.136710159800618
"2014","Iowa","coal",58.19527928456238
"2014","Iowa","natural gas",2.3401993842545084
"2014","Iowa","nuclear",7.608855006597273
"2014","Iowa","Hydro",1.6108341885354052
"2014","Kansas","Renewables",21.85258321915048
"2014","Kansas","coal",57.935036672845975
"2014","Kansas","natural gas",2.8451680502941885
"2014","Kansas","nuclear",17.244297573950192
"2014","Kentucky","Petroleum",1.2775906391277367
"2014","Kentucky","coal",92.63584788582573
"2014","Kentucky","natural gas",2.498670330644446
"2014","Kentucky","Hydro",3.483733711550394
"2014","Louisiana","Petroleum",6.63391677675033
"2014","Louisiana","coal",26.448976221928667
"2014","Louisiana","natural gas",41.479524438573314
"2014","Louisiana","nuclear",23.82072875385293
"2014","Louisiana","Hydro",1.4998899163364157
"2014","Maine","Renewables",19.09400305128506
"2014","Maine","Petroleum",3.0747564839807535
"2014","Maine","natural gas",39.33810585612017
"2014","Maine","Hydro",37.91808473183899
"2014","Maryland","Renewables",1.122760670354165
"2014","Maryland","Petroleum",1.2080684663859764
"2014","Maryland","coal",48.0035223864168
"2014","Maryland","natural gas",5.748644706788849
"2014","Maryland","nuclear",39.46999091884752
"2014","Maryland","Hydro",4.447012851206693
"2014","Massachusetts","Renewables",4.132459468782339
"2014","Massachusetts","Petroleum",3.1873059675750257
"2014","Massachusetts","coal",9.561917902725076
"2014","Massachusetts","natural gas",61.7247326664367
"2014","Massachusetts","nuclear",19.89996550534667
"2014","Massachusetts","Hydro",1.4936184891341842
"2014","Michigan","Renewables",5.543119070461571
"2014","Michigan","coal",51.018015136979
"2014","Michigan","natural gas",11.459332693742672
"2014","Michigan","nuclear",30.279772460776616
"2014","Minnesota","Renewables",19.707035504247443
